date|team|acquired|relinquished|notes
1972-07-07|Tams (ABA)|Bob Bass||hired as head coach
1972-07-29|Pacers (ABA)|Bob Leonard / Bobby Leonard / Slick Leonard||"re-signed as head coach, given ""expanded responsibilities"""
1972-08-08|Conquistadors (ABA)|K.C. Jones||hired as head coach
1972-10-30|Suns||Bill van Breda Kolff / Butch van Breda Kolff|fired as head coach
1972-10-30|Suns|Jerry Colangelo||assumed position as head coach
1973-01-10|Sonics||Tom Nissalke|fired as head coach
1973-01-10|Sonics|Morris Buckwalter / Bucky Buckwalter||promoted to interim head coach
1973-01-21|Rockets|John Egan / Johnny Egan||hired as head coach
1973-01-23|76ers||Roy Rubin|fired as head coach (date approximate)
1973-02-01|76ers|Kevin Loughery||hired as head coach (date approximate)
1973-04-23|76ers||Kevin Loughery|resigned as head coach
1973-04-23|Nets (ABA)|Kevin Loughery||hired as head coach
1973-06-15|Bullets||Gene Shue|replaced as head coach (date approximate)
1973-06-15|Bullets|K.C. Jones||hired as head coach
1973-07-01|76ers|Gene Shue||hired as head coach (date approximate)
1973-07-24|Colonels (ABA)||Joe Mullaney|resigned as head coach
1973-07-24|Stars (ABA)|Joe Mullaney||hired as head coach
1973-08-13|Bullets|Bernie Bickerstaff||hired as assistant coach
1973-08-14|Cougars (ABA)|Larry Brown||signed as head coach to a 5-year contract
1973-09-07|Colonels (ABA)|James McCarthy / Babe McCarthy||hired as head coach
1973-09-11|Tams (ABA)||Bob Bass|fired as head coach
1973-09-11|Tams (ABA)|Bill van Breda Kolff / Butch van Breda Kolff||hired as head coach & GM
1973-09-26|Conquistadors (ABA)|Wilt Chamberlain||signed free agent as player-coach to a 3-year, $1.8M contract
1974-05-01|Tams (ABA)||Bill van Breda Kolff / Butch van Breda Kolff|fired as head coach & GM (date approximate)
1974-05-15|Blazers||Jack McCloskey|fired as head coach
1974-05-24|Blazers|Lenny Wilkens||hired as head coach
1974-05-28|Jazz|Scotty Robertson||hired as head coach
1974-06-24|Bucks||Hubie Brown|resigned as assistant coach
1974-06-24|Colonels (ABA)|Hubie Brown||hired as head coach, signed to a multi-year contract
1974-07-01|Stars (ABA)|Morris Buckwalter / Bucky Buckwalter||hired as head coach (date approximate)
1974-07-26|Sounds (ABA)|Joe Mullaney||hired as head coach
1974-08-27|Sounds (ABA)||Randy Denton|3-team trade with Nuggets (ABA), Stars (ABA)
1974-08-27|Sounds (ABA)||Randy Denton|trade with Stars (ABA) (per www.remembertheaba.com)
1974-08-27|Stars (ABA)|Randy Denton||trade with Sounds (ABA) (per www.remembertheaba.com)
1974-09-10|Bucks|Larry Costello||re-signed as head coach to a multi-year contract
1974-09-11|Jazz|Elgin Baylor||hired as assistant coach
1974-09-16|Jazz|Sam Jones||hired as assistant coach
1974-11-17|Jazz||Scotty Robertson|fired as head coach
1974-11-17|Jazz|Elgin Baylor||promoted to interim head coach
1974-11-18|Jazz||Elgin Baylor|returned to assistant coach
1974-11-18|Jazz|Bill van Breda Kolff / Butch van Breda Kolff||hired as head coach
1975-02-11|Stars (ABA)||Morris Buckwalter / Bucky Buckwalter|fired as head coach
1975-02-11|Stars (ABA)|Tom Nissalke||hired as head coach
1975-04-14|Knicks||William Holzman / Red Holzman|fired as GM (retained as head coach)
1975-05-09|Suns||Dennis Price|resigned as assistant coach
1975-05-15|Lakers||John Barnhill|resigned as assistant coach
1975-05-20|Spirits (ABA)||Bob MacKinnon|resigned as head coach
1975-05-23|Braves|Tates Locke||hired as assistant coach
1975-05-29|Spirits (ABA)|Rod Thorn||hired as head coach
1975-06-23|Pistons|Herb Brown||hired as assistant coach
1975-07-25|Pacers (ABA)|Bob Leonard / Bobby Leonard||re-signed as head coach to a 5-year contract
1975-07-28|Sails (ABA)|Bill Musselman||hired as head coach
1975-10-20|Claws (ABA)||Joe Mullaney|lost job as head coach when franchise folded
1975-11-03|Squires (ABA)||Al Bianchi|fired as head coach
1975-11-03|Squires (ABA)|Mack Calvin||named as interim head coach (apparently player/coach while on injured list?)
1975-11-12|Sails (ABA)||Bill Musselman|lost job as head coach when franchise folded
1975-11-19|Squires (ABA)||Mack Calvin|returned to being player only with hiring of Bill Musselman as head coach
1975-11-19|Squires (ABA)|Bill Musselman||hired as head coach
1976-01-04|Lakers|John Barnhill||hired as assistant coach
1976-01-04|Lakers|Larry Crager||moved from assistant coach to scout
1976-01-20|Squires (ABA)||Bill Musselman|resigned as head coach
1976-01-20|Squires (ABA)|Jack Ankerson||named as interim head coach (in addition to GM)
1976-01-22|Suns|Al Bianchi||hired as assistant coach & scout
1976-01-23|Squires (ABA)||Jack Ankerson|returned to being GM only with hiring of Zelmo Beaty as head coach
1976-01-23|Squires (ABA)|Zelmo Beaty||hired as head coach
1976-01-24|Spirits (ABA)||John Morrison|resigned as assistant coach
1976-01-26|Pistons||Ray Scott|fired as head coach
1976-01-26|Pistons|Herb Brown||promoted from assistant coach to head coach
1976-01-30|Spirits (ABA)||Rod Thorn|fired as head coach
1976-01-30|Spirits (ABA)|Joe Mullaney||hired as head coach
1976-02-24|Pistons|Larry Jones||hired as assistant coach
1976-03-30|Hawks||Lowell Fitzsimmons / Cotton Fitzsimmons|fired as head coach
1976-03-30|Hawks|Gene Tormohlen||promoted from assistant coach to interim head coach
1976-04-20|Rockets||John Egan / Johnny Egan|fired as head coach
1976-04-20|Rockets|Tom Nissalke||hired as head coach
1976-05-03|Braves||Jack Ramsay|resigned as head coach
1976-05-06|Braves|Tates Locke||promoted to head coach
1976-05-28|Bullets||K.C. Jones|fired as head coach
1976-05-28|Bullets|Dick Motta||hired as head coach
1976-06-01|Blazers||Lenny Wilkens|fired as head coach
1976-06-01|Blazers|Jack Ramsay||hired as head coach
1976-07-01|Bucks|Larry Costello||re-signed as head coach to a 2-year contract extension (date approximate)
1976-07-17|Hawks|Hubie Brown||hired as head coach
1976-08-19|Lakers|Jerry West||hired as head coach
1976-08-25|Bulls|Ed Badger||hired as head coach
1976-08-31|Knicks|Dick Barnett||re-signed as assistant coach
1976-09-09|Bucks|Don Nelson||hired as assistant coach
1976-10-06|Lakers|Jack McCloskey||hired as assistant coach (date approximate)
1976-10-06|Lakers|Stan Albeck||hired as assistant coach (date approximate)
1976-11-22|Bucks||Larry Costello|resigned as head coach
1976-11-22|Bucks|Don Nelson||promoted to head coach and director of player personnel
1976-11-30|Bucks|K.C. Jones||hired as assistant coach
1976-12-14|Jazz||Bill van Breda Kolff / Butch van Breda Kolff|fired as head coach
1976-12-16|Jazz|Elgin Baylor||hired as head coach, signed to a 2-year contract
1977-01-25|Braves||Tates Locke|fired as head coach
1977-01-25|Braves|Bob MacKinnon||hired as interim head coach
1977-02-16|Braves|Joe Mullaney||hired as interim head coach
1977-04-16|Bucks||K.C. Jones|resigned as assistant coach
1977-04-23|Nets|Kevin Loughery||re-signed as head coach to a reported 5-year contract extension
1977-05-04|Sonics||Bill Russell|fired as head coach and GM
1977-05-05|Spurs|Doug Moe||re-signed head coach
1977-06-19|Celtics||John Killilea|resigned as assistant coach (date approximate)
1977-06-20|Bucks|John Killilea||hired as assistant coach and assistant director of player personnel
1977-06-29|Celtics|Tom Sanders / Satch Sanders||hired as assistant coach
1977-08-05|Braves|Lowell Fitzsimmons / Cotton Fitzsimmons||hired as head coach
1977-08-31|Nuggets|George Irvine||hired as assistant coach
1977-11-04|76ers||Gene Shue|fired as head coach
1977-11-04|76ers|Billy Cunningham||hired as head coach
1977-11-10|76ers|Chuck Daly||hired as assistant coach
1977-12-14|Kings|Larry Staverman||hired as assistant coach (in addition to assistant GM)
1978-01-03|Celtics||Tom Heinsohn / Tommy Heinsohn|fired as head coach
1978-01-03|Celtics|Tom Sanders / Satch Sanders||promoted to head coach
1978-01-05|Celtics|K.C. Jones||hired as assistant coach
1978-01-08|Kings||Dan Sparks|fired as assistant coach
1978-01-08|Kings||Phil Johnson|fired as head coach
1978-01-08|Kings|Larry Staverman||promoted to interim head coach
1978-01-10|Kings|Frank Hamblen||hired as assistant coach
1978-04-14|Spurs|George Karl||hired as assistant coach
1978-05-01|Pistons|Dick Vitale||hired as head coach (date approximate)
1978-05-10|Kings|Lowell Fitzsimmons / Cotton Fitzsimmons||hired as head coach
1978-05-11|Spurs|Doug Moe||re-signed head coach to a contract extension
1978-06-05|Bulls|Larry Costello||hired as head coach
1978-07-11|Sonics|Lenny Wilkens||signed as head coach to a 5-year contract
1978-08-29|Clippers|Bob Weiss||hired as assistant coach
1978-09-01|Bulls|Scotty Robertson||hired as assistant coach
1978-11-01|Celtics||Tom Sanders / Satch Sanders|fired as head coach (date approximate)
1978-11-01|Celtics|Dave Cowens||hired as head coach (date approximate)
1978-11-28|Jazz|Elgin Baylor||re-signed as head coach to a 2-year contract extension
1979-02-16|Bulls||Larry Costello|fired as head coach
1979-02-16|Bulls|Scotty Robertson||promoted to interim head coach
1979-04-12|Jazz||Elgin Baylor|fired as head coach
1979-04-28|Bulls|Jerry Sloan||hired as head coach
1979-05-22|Celtics||Dave Cowens|fired as head coach (date approximate)
1979-05-23|Celtics|Bill Fitch||hired as head coach
1979-06-01|Suns|John Wetzel||hired as assistant coach (date approximate)
1979-06-07|Rockets|Del Harris||hired as head coach
1979-06-18|Jazz|Gene Littles||hired as assistant coach
1979-06-18|Jazz|Hal Wissel||hired as assistant coach
1979-06-18|Jazz|Tom Nissalke||hired as head coach
1979-06-22|Jazz||Hal Wissel|assistant coach decided not to accept position
1979-06-25|Hawks|Brendan Suhr||hired as assistant coach
1979-06-28|Bulls|Phil Johnson||hired as assistant coach
1979-06-30|Blazers||Jack McKinney|resigned as assistant coach
1979-07-10|Nets||Dave Wohl|resigned as assistant coach
1979-07-18|Nets|Bob MacKinnon||hired as assistant coach
1979-07-23|Cavaliers|Stan Albeck||hired as head coach
1979-07-31|Lakers|Paul Westhead||hired as assistant coach
1979-10-11|Nets|Phil Jackson||hired as assistant coach
1979-11-19|Hawks|Hubie Brown||re-signed as head coach to a 5-year contract
1980-01-05|Knicks|William Holzman / Red Holzman||re-signed as head coach to a 1-year contract extension through 1980-81
1980-01-18|Bucks|Dave Wohl||hired as interim assistant coach
1980-02-05|Suns|John MacLeod||re-signed as head coach to a 5-year contract
1980-02-11|Pacers|Roger Brown (A.)?||hired as assistant coach
1980-05-14|Kings|Lowell Fitzsimmons / Cotton Fitzsimmons||re-signed as head coach to a 4-year contract extension
1980-05-20|Lakers|Paul Westhead||re-signed as head coach to a 4-year, $1M contract
1980-05-20|Sonics|Lenny Wilkens||re-signed as head coach to a contract extension though 1984-85
1980-05-27|Bullets||Dick Motta|resigned as head coach
1980-05-27|Bullets|Gene Shue||hired as head coach
1980-06-02|Pacers|Jack McKinney||hired as head coach
1980-06-05|Pistons|Scotty Robertson||hired as head coach
1980-06-11|Cavaliers||Stan Albeck|resigned as head coach
1980-06-11|Spurs|Stan Albeck||hired as head coach, signed to a multi-year contract
1980-06-12|Spurs|Morris McHone / Mo McHone||hired as assistant coach
1980-07-10|Jazz|Tom Nissalke||re-signed as head coach to a multi-year contract extension
1980-10-06|Bullets|Don Moran||hired as part-time assistant coach
1981-03-21|Blazers|Jack Ramsay||re-signed as head coach to 3-year contract through 1984-85
1981-03-26|Hawks||Hubie Brown|fired as head coach
1981-05-01|Nets|Larry Brown||hired as head coach (date approximate)
1981-05-18|Blazers|Jim Lynam||hired as assistant coach
1981-05-18|Blazers|Morris Buckwalter / Bucky Buckwalter||re-signed as assistant coach
1981-05-19|Hawks|Kevin Loughery||hired as head coach, signed to a 3-year contract
1981-06-10|Hawks|Fred Carter||hired as assistant coach
1981-06-11|Sonics||Bob Kloppenburg|resigned as assistant coach and chief scout
1981-06-11|Cavaliers|Bob Kloppenburg||hired as defensive coach (date approximate)
1981-07-07|Sonics|Dave Harshman||hired as head scout and assistant coach
1981-12-02|Lakers|Pat Riley||hired as head coach for the remainder of the season
1981-12-04|Cavaliers|Chuck Daly||hired as head coach
1981-12-10|Jazz||Tom Nissalke|fired as head coach
1981-12-10|Jazz|Frank Layden||hired as head coach (in addition to GM)
1982-02-03|Jazz||Gene Littles|resigned as assistant coach
1982-02-17|Bulls||Jerry Sloan|fired as head coach
1982-02-17|Bulls|Phil Johnson||promoted to interim head coach
1982-02-18|Bulls|Rod Thorn||hired as head coach (in addition to GM)
1982-05-14|Knicks||William Holzman / Red Holzman|retired as head coach
1982-05-20|Knicks|Hubie Brown||hired as head coach, signed to a 3-year, reported $700K contract
1982-05-20|Spurs|Stan Albeck||re-signed as head coach to a 3-year contract
1982-05-25|Spurs|Morris McHone / Mo McHone||re-signed as assistant coach
1982-06-23|Bulls|Paul Westhead||hired as head coach
1982-06-28|Bulls||Rod Thorn|resigned as head coach (remained as GM)
1982-07-13|Bulls|Don Casey||hired as assistant coach
1982-07-20|Jazz|Phil Johnson||hired as assistant coach
1982-08-01|Bulls|Mike Thibault||hired as assistant coach
1982-09-12|Nuggets||Donnie Walsh|re-signed as assistant coach
1983-04-22|Rockets||Del Harris|resigned as head coach
1983-05-10|Bulls||Paul Westhead|fired as head coach
1983-05-11|Sonics|Dave Harshman||hired as assistant coach
1983-05-27|Celtics||Bill Fitch|resigned as head coach
1983-05-28|Nuggets|Doug Moe||re-signed as head coach
1983-06-01|Pistons|Chuck Daly||hired as head coach (date approximate)
1983-06-01|Rockets|Bill Fitch||hired as head coach
1983-06-06|Hawks||Kevin Loughery|fired as head coach / resigned as head coach (NYT)
1983-06-07|Celtics|K.C. Jones||promoted to head coach
1983-06-07|Nets|||trade with Spurs
1983-06-07|Spurs|||trade with Nets
1983-06-07|Bulls|Kevin Loughery||hired as head coach, signed to a 3-year contract
1983-06-07|Bulls||1983 second round pick (#31-Glenn Rivers / Doc Rivers)|sent to Hawks as compensation for head coach Kevin Loughery
1983-06-07|Hawks|1983 second round pick (#31-Glenn Rivers / Doc Rivers)||received from Bulls as compensation for head coach Kevin Loughery
1983-06-09|Celtics|Chris Ford||hired as assistant coach, signed to a multi-year contract
1983-06-09|Hawks|Mike Fratello||hired as head coach, signed to a 3-year contract
1983-06-10|Spurs|Allan Bristow||hired as assistant coach
1983-06-10|Spurs|Morris McHone / Mo McHone||hired as head coach
1983-06-17|Pistons||Scotty Robertson|fired as head coach (date approximate)
1983-06-20|Blazers||Jim Lynam|resigned as assistant coach
1983-06-20|Blazers|Rick Adelman||hired as assistant coach
1983-06-21|Pistons|Dick Harter||hired as assistant coach
1983-06-24|Bucks|Mike Schuler||hired as assistant coach to a 3-year contract
1983-07-01|Warriors|John Bach / Johnny Bach||hired as head coach (date approximate)
1983-07-05|Hawks|Bob Reinhart||hired as assistant coach
1983-07-05|Warriors|Bob Zuffelato||hired as assistant coach
1983-07-06|Knicks|Rick Pitino||hired as assistant coach
1983-07-10|Hawks|Ron Rothstein||hired as assistant coach
1983-07-18|Clippers|Don Chaney||hired as assistant coach
1983-07-18|Clippers|Don Casey||hired as assistant coach
1983-08-04|Jazz|Frank Layden||re-signed as GM and head coach to a multi-year contract extension
1983-08-06|Nets|John Killilea||hired as assistant coach
1983-09-14|Pacers|Scotty Robertson||hired as assistant coach
1983-11-03|Knicks|Hubie Brown||re-signed as head coach to a 3-year, estimated $900K contract extension
1983-12-28|Spurs||Morris McHone / Mo McHone|fired as head coach
1983-12-28|Spurs|Bob Bass||hired as head coach
1984-05-09|Spurs|Lowell Fitzsimmons / Cotton Fitzsimmons||hired as head coach
1984-05-15|Kings|Jack McKinney||hired as head coach, signed to a 3-year contract
1984-05-29|Pacers|George Irvine||hired as head coach
1984-06-12|Pacers|Donnie Walsh||hired as assistant coach
1984-06-21|Bucks|Don Nelson||re-signed as head coach and director of player personnel
