coach.id,name,dob,dod
mendemu99c,Murray Mendenhall,1898-03-05,
birchpa99c,Paul Birch,1910-01-10,1982-06-05
eckmach99c,Charles Eckman,,
rochare01c,Red Rocha,1923-09-18,2010-02-13
mcguidi01c,Dick McGuire,1926-01-25,2010-02-03
wolfch99c,Charles Wolf,,
debusda01c,Dave DeBusschere,1940-10-16,2003-05-14
butchdo01c,Donnie Butcher,1936-02-08,2012-10-08
vanbrbu01c,Butch van Breda Kolff,1922-10-28,2007-08-22
dischte01c,Terry Dischinger,1940-11-21,
lloydea01c,Earl Lloyd,1928-04-03,2015-02-26
scottra01c,Ray Scott,1938-07-12,
brownhe99c,Herb Brown,1936-03-14,
kauffbo01c,Bob Kauffman,1946-07-13,2015-07-25
vitaldi99c,Dick Vitale,1939-06-09,
rothsro99c,Ron Rothstein,,
chanedo01c,Don Chaney,1946-03-22,
gentral99c,Alvin Gentry,1954-11-05,
irvinge01c,George Irvine,1948-02-01,2017-05-08
saundfl99c,Flip Saunders,1955-02-23,2015-10-25
currymi01c,Michael Curry,1968-08-22,
kuestjo01c,John Kuester,1955-02-06,
cheekma01c,Maurice Cheeks,1956-09-08,
loyerjo99c,John Loyer,,
vangust99c,Stan Van Gundy,1959-09-21,
caseydw99c,Dwane Casey,1957-04-17,
gottled99c,Edward Gottlieb,1898-09-15,1979-12-07
senesge01c,George Senesky,1922-04-04,2001-06-25
cervial01c,Al Cervi,1917-02-12,2009-11-09
johnsne01c,Neil Johnston,1929-02-04,1978-09-28
mcguifr99c,Frank McGuire,,1994-10-11
feeribo01c,Bob Feerick,1920-01-02,1976-06-08
sharmbi01c,Bill Sharman,1926-05-25,2013-10-25
leege01c,George Lee,1936-11-23,
attleal01c,Al Attles,1936-11-07,
bachjo01c,Johnny Bach,1924-07-10,2016-01-18
gregoed99c,Ed Gregory,1931-10-28,
laniebo01c,Bob Lanier,1948-09-10,
adelmri01c,Rick Adelman,1946-06-16,
stjeaga99c,Garry St. Jean,,
wintebr01c,Brian Winters,1952-03-01,
musseer99c,Eric Musselman,,
montgmi99c,Mike Montgomery,1947-02-27,
jacksma01c,Mark Jackson,1965-04-01,
kerrst01c,Steve Kerr,1965-09-27,
mcmahja01c,Jack McMahon,1928-12-03,1989-06-11
wintete99c,Tex Winter,1922-02-25,2018-10-10
eganjo01c,Johnny Egan,1939-01-31,
harride99c,Del Harris,1937-06-18,
tomjaru01c,Rudy Tomjanovich,1948-11-24,
vanguje99c,Jeff Van Gundy,1962-01-19,
mchalke01c,Kevin McHale,1957-12-19,
stavela01c,Larry Staverman,1936-10-11,2007-07-13
leonasl01c,Slick Leonard,1932-07-17,
mckinja99c,Jack McKinney,1935-07-13,2018-09-25
ramsaja99c,Jack Ramsay,1925-02-21,2014-04-28
danieme01c,Mel Daniels,1944-07-20,2015-10-30
versadi99c,Dick Versace,,
hillbo99c,Bob Hill,1948-11-24,
birdla01c,Larry Bird,1956-12-07,
thomais01c,Isiah Thomas,1961-04-30,
vogelfr99c,Frank Vogel,1973-06-21,
mcmilna01c,Nate McMillan,1964-08-03,
schaydo01c,Dolph Schayes,1928-05-19,2015-12-10
mccarjo01c,Johnny McCarthy,1934-04-25,
locketa99c,Tates Locke,,
mullajo01c,Joe Mullaney,1924-11-17,2000-03-08
shuege01c,Gene Shue,1931-12-18,
lynamji99c,Jim Lynam,,
schulmi99c,Mike Schuler,1940-09-22,
calvima01c,Mack Calvin,1947-07-27,
toddji99c,Jim Todd,,
johnsde01c,Dennis Johnson,1954-09-18,2007-02-22
dunlemi01c,Mike Dunleavy,1954-03-21,
hugheki01c,Kim Hughes,1952-06-04,
kundljo99c,John Kundla,1916-07-03,2017-07-23
mikange01c,George Mikan,1924-06-18,2005-06-01
castejo99c,John Castellani,,
pollaji01c,Jim Pollard,1922-07-09,1993-01-22
schaufr01c,Fred Schaus,1925-06-30,2010-02-10
westje01c,Jerry West,1938-05-28,
rileypa01c,Pat Riley,1945-03-20,
pfundra99c,Randy Pfund,,
bertkbi99c,Bill Bertka,1927-08-08,
johnsma02c,Magic Johnson,1959-08-14,
rambiku01c,Kurt Rambis,1958-02-25,
hamblfr99c,Frank Hamblen,1947-04-16,2017-09-30
waltolu01c,Luke Walton,1980-03-28,
jacksst99c,Stu Jackson,,
hillbr99c,Brian Hill,1947-09-19,
lowesi01c,Sidney Lowe,1960-01-21,
baronto99c,Tony Barone,1946-07-20,2019-06-25
iavarma01c,Marc Iavaroni,1956-09-15,
davisjo01c,Johnny Davis,1955-10-21,
joergda99c,Dave Joerger,1974-02-21,
fizdada01c,David Fizdale,1974-06-16,
jenkita01c,Taylor Jenkins,1984-09-12,
spoeler99c,Erik Spoelstra,1970-11-01,
portete01c,Terry Porter,1963-04-08,
krystla01c,Larry Krystkowiak,1964-09-23,
pruntjo01c,Joe Prunty,1969-02-12,
mitchsa01c,Sam Mitchell,1963-09-02,
saundry01c,Ryan Saunders,1986-04-28,
bowerje99c,Jeff Bower,1961-04-26,
willimo01c,Monty Williams,1971-10-08,
cohalne99c,Neil Cohalan,,
lapchjo99c,Joe Lapchick,1900-04-12,1970-08-10
borylvi01c,Vince Boryla,1927-03-11,2016-03-27
braunca01c,Carl Braun,1927-09-25,2010-02-10
donoved99c,Eddie Donovan,,2001-01-20
willihe01c,Herb Williams,1958-02-16,
fishede01c,Derek Fisher,1974-08-09,
hornaje01c,Jeff Hornacek,1963-05-03,
millemi99c,Mike Miller,1964-08-14,
biancal01c,Al Bianchi,1932-03-26,2019-10-28
buckwbu99c,Bucky Buckwalter,1933-11-22,
hopkibo01c,Bob Hopkins,1934-11-03,2015-05-15
westppa01c,Paul Westphal,1950-11-30,
brooksc01c,Scott Brooks,1965-07-31,
donovbi99c,Billy Donovan,1965-05-30,
guokama02c,Matt Guokas,1944-02-25,
jentch01c,Chris Jent,1970-01-11,
rubinro99c,Roy Rubin,1925-12-09,2013-08-05
cunnibi01c,Billy Cunningham,1943-06-03,
cartefr01c,Fred Carter,1945-02-14,
ayersra99c,Randy Ayers,1956-04-16,
dileoto99c,Tony DiLeo,1955-08-08,
jordaed01c,Eddie Jordan,1955-01-29,
brownbr99c,Brett Brown,1961-02-16,
colanje99c,Jerry Colangelo,1939-11-20,
vanardi01c,Dick Van Arsdale,1943-02-22,
wetzejo01c,John Wetzel,1944-10-22,
aingeda01c,Danny Ainge,1959-03-17,
johnsfr01c,Frank Johnson,1958-11-23,
hunteli01c,Lindsey Hunter,1970-12-03,
watsoea01c,Earl Watson,1979-06-12,
trianja99c,Jay Triano,1958-09-21,
kokosig01c,Igor Kokoskov,,
toddro99c,Rolland Todd,,
inmanst99c,Stu Inman,1926-08-02,2007-01-30
mccloja01d,Jack McCloskey,1925-09-19,2017-06-01
pritcke01c,Kevin Pritchard,1967-07-17,
canalka99c,Kaleb Canales,,
harrile99c,Les Harrison,1904-08-20,1997-12-23
wanzebo01c,Bobby Wanzer,1921-06-04,2016-01-23
marshto01c,Tom Marshall,1931-01-06,
juckeed99c,Ed Jucker,,2002-02-02
cousybo01c,Bob Cousy,1928-08-09,
youngdr99c,Draff Young,,
reynoje99c,Jerry Reynolds,,
hughere99c,Rex Hughes,,
theusre01c,Reggie Theus,1957-10-13,
nattke01c,Kenny Natt,1958-10-05,
corbity01c,Tyrone Corbin,1962-12-31,
hagancl01c,Cliff Hagan,1931-12-09,
willima99c,Max Williams,,
blakebi99c,Bill Blakeley,1934-06-13,2010-10-27
mccarba99c,Babe McCarthy,,
brownda99c,Dave Brown,,
mchonmo99c,Morris McHone,1943-06-17,
tarkaje99c,Jerry Tarkanian,1930-08-08,2015-02-11
popovgr99c,Gregg Popovich,1949-01-28,
walkeda01c,Darrell Walker,1961-03-09,
cartebu01c,Butch Carter,1958-06-11,
oneilke99c,Kevin O'Neill,1957-01-24,
nurseni01c,Nick Nurse,1967-07-24,
bayloel01c,Elgin Baylor,1934-09-16,
laydefr99c,Frank Layden,1932-01-05,
snydequ01c,Quin Snyder,1966-10-30,
jeannbu01c,Buddy Jeannette,1917-09-15,1998-03-11
farmemi01c,Mike Farmer,1936-09-26,
unselwe01c,Wes Unseld,1946-03-14,
staakbo99c,Bob Staak,,
broveji99c,Jim Brovelli,1942-04-15,
hamille99c,Leonard Hamilton,,
tapsced99c,Ed Tapscott,,
