date|team|acquired|relinquished|notes
2001-06-27|Lakers|Kurt Rambis||hired as assistant coach
2001-06-29|Clippers|Alvin Gentry||team exercised 2-year contract option on head coach through 2003-04
2001-07-03|Hornets||Jerry Eaves|fired as assistant coach
2001-07-09|Blazers|Dan Panaggio||hired as assistant coach
2001-07-09|Pistons|Tony Brown||hired as assistant coach
2001-07-14|Blazers|Jim Lynam||hired as assistant coach
2001-07-23|Hornets|Bob Donewald Jr.||hired as assistant coach
2001-07-23|Hornets|Paul Silas||re-signed as head coach to a 1-year contract extension through 2002-03
2001-07-24|Cavaliers|Ron Ekker||hired as assistant coach
2001-07-25|76ers|Larry Brown||announced he will return as head coach
2001-07-30|Hornets|Brian Hill||hired as assistant coach
2001-08-06|Knicks|Andy Greer||hired as assistant coach/scout
2001-08-06|Knicks|Steve Clifford||hired as assistant coach/scout
2001-08-23|Cavaliers|Jerry Eaves||hired as assistant coach
2001-08-31|Timberwolves|Randy Wittman||hired as assistant coach
2001-09-10|76ers|Mike Woodson||hired as assistant coach
2001-09-19|Rockets|Dean Cooper||promoted to assistant coach
2001-09-19|Rockets|Melvin Hunt||promoted to assistant coach
2001-09-27|Clippers|Morris McHone / Mo McHone||hired as assistant coach
2001-10-01|Spurs|Gregg Popovich||re-signed as head coach & GM to a 3-year contract extension through 2005-06
2001-10-04|Blazers|Caldwell Jones||hired as assistant coach
2001-10-04|Blazers|Herb Brown||hired as assistant coach
2001-12-07|Cavaliers|Chuck Person||hired as assistant/associate coach
2001-12-08|Knicks||Jeff Van Gundy|resigned as head coach
2001-12-10|Knicks|Don Chaney||hired as head coach for the remainder of the season
2001-12-15|Warriors||Dave Cowens|fired as head coach
2001-12-15|Warriors|Brian Winters||promoted to interim head coach
2001-12-24|Bulls||Tim Floyd|resigned as head coach
2001-12-24|Bulls|Bill Berry||named interim head coach
2001-12-26|Nuggets||Dan Issel|resigned as head coach and president
2001-12-26|Nuggets|Mike Evans||promoted to interim head coach
2001-12-27|Nuggets|John MacLeod||hired as assistant coach
2001-12-28|Bulls|Bill Cartwright||hired as head coach
2001-12-28|Bulls|Pete Myers||hired as assistant coach
2001-12-30|Knicks|Herb Williams||hired as assistant coach
2001-12-31|Nuggets|Clyde Drexler||hired as assistant coach
2002-02-17|Suns||Scott Skiles|resigned as head coach
2002-02-17|Suns|Frank Johnson||promoted to head coach
2002-02-18|Suns|Al Bianchi||hired as assistant coach
2002-03-05|Knicks|Don Chaney||re-signed as head coach to a 1-year contract extension through 2002-03
2002-03-05|Raptors|Walker Russell Sr.||hired as assistant coach for the remainder of the season
2002-03-11|Bulls|Bill Cartwright||team exercised 3-year, reported $4.5M contract option as head coach through 2004-05
2002-04-13|Spurs|Gregg Popovich||replaced as GM (remained as head coach) (effective 07-01)
2002-04-18|Bulls||Norm Ellenberger|resigned as assistant coach
2002-04-18|Suns|Frank Johnson||re-signed head coach to a 3-year contract extension
2002-05-15|Grizzlies||Bob Staak|resigned as assistant coach
2002-05-15|Grizzlies||Michael Adams|resigned as assistant coach
2002-05-28|Spurs||Hank Egan|resigned as assistant coach
2002-06-03|Celtics|Joe Gallagher||hired as assistant coach
2002-06-07|Heat||Marc Iavaroni|resigned as assistant coach
2002-06-10|Suns|Marc Iavaroni||hired as assistant coach
2002-06-14|Grizzlies|John Welch||hired as assistant/workout coach
2002-06-25|Suns|Mike D'Antoni||hired as assistant coach
2002-06-30|Grizzlies|Lionel Hollins||hired as assistant coach
2002-07-01|Mavericks|Donn Nelson / Donnie Nelson||promoted to president of basketball operations (in addition to assistant coach)
2002-07-01|Spurs|Gregg Popovich||replaced as GM (remained as head coach)
2002-07-02|Spurs|Joe Prunty||promoted to advance scout / assistant coach (date approximate)
2002-07-08|Bulls|Bob Thornton||hired as assistant coach
2002-07-10|Nuggets|Jeff Bzdelik||hired as assistant coach
2002-07-11|76ers|Bob Bender||hired as assistant coach
2002-07-16|Warriors|Eric Musselman||hired as head coach
2002-07-20|Nets|Eddie Jordan||re-signed as assistant coach to a 2-year contract extension
2002-07-25|Bucks||Terry Stotts|resigned as assistant coach
2002-07-26|Warriors|Eric Musselman||hired as head coach, signed to a 3-year, ~$4.5M contract
2002-07-29|Kings|Terry Porter (b)||hired as assistant coach
2002-07-30|Mavericks|Robert Hackett||hired as strength & conditioning coach
2002-08-01|Hornets|Marc Boff||hired as strength & conditioning coach & physical therapist
2002-08-06|Warriors|Hank Egan||hired as assistant coach
2002-08-08|Warriors|Tom Sterner||hired as assistant coach
2002-08-16|Bucks||Mike Thibault|resigned as assistant coach
2002-08-17|Bucks|Sam Mitchell||hired as assistant coach
2002-08-20|Hawks|Steve Henson||hired as assistant coach
2002-08-20|Hawks|Terry Stotts||hired as assistant coach
2002-08-21|Nuggets|Jeff Bzdelik||promoted to head coach
2002-08-21|Nuggets|John MacLeod||hired as associate head coach
2002-08-23|Magic|Dave Wohl||re-signed as assistant coach to a contract extension
2002-08-23|Magic|Johnny Davis||re-signed as assistant coach to a contract extension
2002-08-23|Magic|Mark Hughes||hired as assistant coach
2002-08-23|Magic|Paul Pressey||re-signed as assistant coach to a contract extension
2002-08-26|Nuggets|T.R. Dunn||hired as assistant coach
2002-09-05|Bulls|Mike Wilhelm||hired as assistant coach / advance scout
2002-09-06|Spurs|P.J. Carlesimo||hired as assistant coach
2002-09-06|Spurs|P.J. Carlisimo||hired as assistant coach
2002-09-17|Wizards|Patrick Ewing Sr.||hired as assistant coach
2002-09-19|Bucks||Tim Grgurich|resigned as assistant coach
2002-09-23|Raptors||Jim Brewer|resigned as assistant coach
2002-09-23|Raptors||Stan Albeck|fired as assistant coach
2002-09-23|Raptors|Dick Helm||hired as assistant coach
2002-09-23|Raptors|Jay Triano||hired as assistant coach
2002-09-23|Suns|Tim Grgurich||hired as assistant coach
2002-10-29|Knicks|Don Chaney||re-signed as head coach to a 1-year contract extension through 2003-04
2002-11-12|Grizzlies||Sidney Lowe|resigned as head coach
2002-11-12|Grizzlies|Hubie Brown||hired as head coach, signed to a reported 3-year, $10M contract
2002-11-13|Grizzlies|Hal Wissel||hired as assistant coach
2002-11-13|Grizzlies|Tony Barone||hired as assistant coach
2002-11-13|Grizzlies|Brendan Brown||hired as assistant coach
2002-11-13|Grizzlies|Lionel Hollins||retained as assistant coach
2002-11-13|Grizzlies|Mitchell Anderson / J.J. Anderson||demoted from assistant coach to scout
2002-12-26|Hawks||Lon Kruger|fired as head coach
2002-12-26|Hawks||Garfield Heard|fired as assistant coach
2002-12-26|Hawks|Alex English||moved from director of player development to assistant coach
2002-12-26|Hawks|Terry Stotts||promoted to interim head coach
2003-01-20|Cavaliers||Jerry Eaves|fired as assistant coach
2003-01-20|Cavaliers||John Lucas Sr.|fired as head coach
2003-01-20|Cavaliers|Keith Smart||promoted to interim head coach for the remainder of the season
2003-01-20|Cavaliers|Mike Bratz||hired as assistant coach (in addition to director of player personnel?)
2003-01-23|Cavaliers|Clifford Ray||hired as assistant coach
2003-03-03|Clippers||Alvin Gentry|fired as head coach
2003-03-03|Clippers|Dennis Johnson||promoted to interim head coach
2003-03-24|Clippers|Jerry DeGregorio||hired as assistant coach
2003-04-15|Knicks|Don Chaney||re-signed as head coach to a 2-year contract extension through 2005-06
2003-04-17|Raptors||Lenny Wilkens|fired as head coach
2003-05-04|Hornets||Bob Donewald Jr.|fired as assistant coach
2003-05-04|Hornets||Stephen Silas|fired as assistant coach
2003-05-04|Hornets||Brian Hill|fired as assistant coach
2003-05-04|Hornets||Paul Silas|fired as head coach
2003-05-13|Jazz|Jerry Sloan||re-signed as head coach to a contract extension through 2005-06
2003-05-21|Celtics|Jim O'Brien||re-signed as head coach to a 2-year contract extension through 2005-06
2003-05-23|Rockets||Rudy Tomjanovich|resigned as head coach
2003-05-26|76ers||Larry Brown|resigned as head coach & VP of basketball operations
2003-05-29|Hawks||Steve Henson|resigned as assistant coach
2003-05-30|Knicks|Brendan Malone||hired as assistant coach
2003-05-30|Knicks|Michael Malone / Mike Malone||promoted to assistant coach & advance scout
2003-05-30|Wizards||Doug Collins|fired as head coach
2003-05-30|Wizards||John Bach / Johnny Bach|assistant coach retired
2003-05-31|Pistons||Rick Carlisle|fired as head coach
2003-06-02|Cavaliers|Paul Silas||hired as head coach
2003-06-02|Pistons|Larry Brown||hired as head coach, signed to an estimated 5-year, $25M contract
2003-06-09|Hornets|Tim Floyd||hired as head coach
2003-06-11|Knicks|second round pick (2005 #54-Dijon Thompson)||received from Rockets as compensation for Knicks agreeing to release head coach Jeff Van Gundy from his contract
2003-06-11|Rockets||second round pick (2005 #54-Dijon Thompson)|sent to Knicks as compensation for Knicks agreeing to release head coach Jeff Van Gundy from his contract
2003-06-11|Rockets|Jeff Van Gundy||hired as head coach, signed to a reported 4-year, $18M contract
2003-06-18|Raptors|Kevin O'Neill||hired as head coach, signed to a 2 year contract with a team option for 2005-06
2003-06-19|Hornets|Jeff Bower||hired as assistant coach
2003-06-19|Wizards|Eddie Jordan||hired as head coach, signed to a 4-year contract
2003-06-20|76ers|Randy Ayers||promoted to head coach
2003-06-20|Knicks|Lon Kruger||hired as assistant coach
2003-06-20|Raptors||Craig Neal|fired as assistant coach
2003-06-20|Raptors||Jay Triano|fired as assistant coach
2003-06-20|Raptors||Walker Russell Sr.|fired as assistant coach
2003-06-20|Wizards||Brian James|fired as assistant coach
2003-06-23|Hornets|Jan van Breda Kolff||hired as assistant coach
2003-06-25|Hornets|Kenny Gattison||hired as assistant coach
2003-06-25|Wizards|Mike O'Koren||hired as assistant coach
2003-06-25|Wizards|Tom Young||hired as assistant coach
2003-06-27|Kings|Pete Carril||resumed role as assistant coach
2003-06-27|Kings|Rick Adelman||signed head coach to a 3-year contract extension through 2006-07
2003-06-30|Hornets|Alvin Gentry||hired as assistant coach
2003-06-30|Mavericks|Don Nelson||signed to a new 3-year contract to continue as coach and GM (the coaching part of his old contract was set to expire this day - he had 3 more years as GM under that old contract)
2003-07-01|Mavericks|Del Harris||re-signed as assistant coach to a 3-year contract
2003-07-01|Mavericks|Don Nelson||re-signed as head coach & GM to a 3-year contract extension
2003-07-02|Cavaliers|Mark Osowski||hired as assistant coach
2003-07-02|Cavaliers|Stephen Silas||hired as assistant coach
2003-07-02|Rockets|Patrick Ewing Sr.||hired as assistant coach
2003-07-02|Rockets|Andy Greer||hired as assistant coach
2003-07-02|Rockets|Steve Clifford||hired as assistant coach
2003-07-02|Rockets|Tom Thibodeau||hired as assistant coach
2003-07-02|Warriors|David Fizdale||hired as assistant coach
2003-07-02|Warriors|Jim Boylen||hired as assistant coach
2003-07-02|Wizards||Patrick Ewing Sr.|released assistant coach from the remaining two months of his contract
2003-07-02|Wizards|Phil Hubbard||hired as assistant coach
2003-07-07|Raptors|Bob Beyer||hired as assistant coach
2003-07-10|76ers|Chris Jent||promoted to assistant bench coach-player development
2003-07-10|76ers|Frank Zanin||promoted to assistant coach-advance scout
2003-07-10|76ers|Bob Bender||promoted to assistant bench coach
2003-07-10|76ers|Chris Ford||hired as assistant bench coach
2003-07-10|Cavaliers|Bob Donewald Jr.||hired as assistant coach
2003-07-11|Clippers|Mike Dunleavy Sr.||hired as head coach, signed to a 4-year contract
2003-07-15|Bulls|John Bach / Johnny Bach||hired as assistant coach
2003-07-16|Bulls|Ron Adams||hired as assistant coach
2003-07-20|Bucks||George Karl|fired as head coach
2003-07-23|Pacers|Ron Rothstein||hired as assistant coach
2003-08-05|Nets|Don Newman||hired as assistant coach
2003-08-06|76ers|Alex English||hired as assistant coach
2003-08-06|Bucks|Terry Porter (b)||hired as head coach, signed to a 4-year, ~$6M contract
2003-08-06|Hawks||Alex English|resigned as assistant coach
2003-08-07|Pistons|Dave Hanners||hired as assistant coach
2003-08-07|Pistons|John Kuester||hired as assistant coach
2003-08-07|Pistons|Herb Brown||hired as assistant coach
2003-08-07|Pistons|Igor Stefan Kokoskov / Igor Kokoskov||hired as assistant coach
2003-08-07|Pistons|Mike Woodson||hired as assistant coach
2003-08-11|Hawks|Terry Stotts||re-signed as head coach to a 2-year contract
2003-08-11|Nets|Larry Drew I||hired as assistant coach
2003-08-13|Blazers|John Loyer||hired as assistant coach
2003-08-13|Blazers|Bernard Smith||hired as assistant coach
2003-08-13|Bucks|Mike Schuler||hired as assistant coach
2003-08-13|Timberwolves|Sidney Lowe||hired as assistant coach
2003-08-14|Bucks|Jim Todd||hired as assistant coach
2003-08-19|Clippers|Jim Eyen||hired as assistant coach
2003-08-19|Clippers|Neal Meyer||hired as assistant coach
2003-08-19|Clippers|Kim Hughes||hired as assistant coach
2003-08-19|Clippers|Rory White||hired as assistant coach
2003-08-19|Warriors|Keith Smart||hired as assistant coach
2003-08-22|Bucks|Bob Ociepka||hired as assistant coach
2003-08-26|Raptors|Jay Triano||hired as assistant coach
2003-08-26|Raptors|Jim Sann / Jimmy Sann||hired as assistant coach
2003-08-26|Raptors|Bob Beyer||hired as assistant coach
2003-08-26|Raptors|Tony Brown||hired as assistant coach
2003-08-27|Pacers||Isiah Thomas|fired as head coach
2003-09-03|Pacers|Rick Carlisle||hired as head coach, signed to a 4-year contract
2003-09-04|Spurs|Mario Elie||hired as assistant coach
2003-09-10|Pacers|Mike Brown (c)||hired as assistant coach
2003-09-18|Sonics|Jack Sikma||hired as special assignments coach
2003-09-29|Hawks|Armond Hill||hired as assistant coach
2003-09-29|Hawks|Mike McNeive||hired as assistant coach
2003-09-29|Hawks|Jim Boylan||hired as assistant coach
2003-09-29|Hawks|Larry Smith||hired as assistant coach
2003-09-29|Nuggets|Chip Engelland||hired as assistant coach in charge of player development
2003-09-29|Nuggets|Jim Harrick||hired as scout and coaching consultant
2003-09-29|Nuggets|Adrian Dantley||hired as assistant coach
2003-09-29|Nuggets|Scott Brooks||hired as assistant coach
2003-10-01|Kings|Bubba Burrage||promoted to assistant coach / advance NBA scout
2003-10-16|Bobcats|Bernie Bickerstaff||hired as head coach and GM
2003-10-24|Heat||Pat Riley|resigned as head coach (remained as president)
2003-10-24|Heat|Stan Van Gundy||hired as head coach
2003-11-13|Blazers|Maurice Cheeks||re-signed as head coach to a 1-year contract extension through 2005-06
2003-11-17|Magic||Dave Wohl|fired as assistant coach
2003-11-17|Magic||Glenn Rivers / Doc Rivers|fired as head coach
2003-11-17|Magic|Johnny Davis||promoted to head coach, signed to a 2-year contract
2003-11-24|Bulls||Bill Cartwright|fired as head coach
2003-11-24|Bulls|Pete Myers||promoted to interim head coach
2003-11-27|Magic|Paul Westhead||hired as assistant coach
2003-11-28|Bulls|Pete Myers||re-assigned to assistant coach
2003-11-28|Bulls|Scott Skiles||hired as head coach, signed to a 2-year contract with a third year team option
2003-12-10|Suns||Frank Johnson|fired as head coach
2003-12-10|Suns|Mike D'Antoni||promoted to head coach
2003-12-16|Spurs|Gregg Popovich||re-signed as head coach to a contract extension through 2007-08
2004-01-14|Knicks||Don Chaney|fired as head coach
2004-01-14|Knicks||Lon Kruger|fired as assistant coach
2004-01-14|Knicks||Brendan Malone|fired as assistant coach
2004-01-14|Knicks|Lenny Wilkens||hired as head coach
2004-01-16|Knicks|Dick Helm||hired as assistant coach
2004-01-16|Knicks|Herb Williams||re-signed as assistant coach
2004-01-16|Knicks|Mark Aguirre||hired as assistant coach
2004-01-16|Knicks|Michael Malone / Mike Malone||re-signed as assistant coach
2004-01-26|Nets||Byron Scott|fired as head coach
2004-01-26|Nets|Brian Hill||hired as assistant coach
2004-01-26|Nets|Lawrence Frank||hired as interim head coach
2004-01-27|Celtics||Dick Harter|fired as assistant coach
2004-01-27|Celtics||Jim O'Brien|resigned as head coach
2004-01-27|Celtics|John Carroll||hired as interim head coach
2004-02-10|76ers||Randy Ayers|fired as head coach
2004-02-10|76ers|Chris Ford||promoted to interim head coach
2004-04-02|Bobcats|Gary Kloppenburg||hired as assistant coach (SN)
2004-04-02|Bobcats|John Outlaw||hired as assistant coach (SN)
2004-04-16|Raptors||Jim Sann / Jimmy Sann|fired as assistant coach
2004-04-16|Raptors||Bob Beyer|fired as assistant coach
2004-04-16|Raptors||Kevin O'Neill|fired as head coach
2004-04-16|Raptors||Ron Oliver|fired as assistant coach
2004-04-16|Raptors||Tony Brown|fired as assistant coach
2004-04-20|76ers|Jim O'Brien||hired as head coach
2004-04-26|Celtics||John Carroll|fired as interim head coach
2004-04-28|Cavaliers||Bob Donewald Jr.|fired as assistant coach
2004-04-29|Celtics|Glenn Rivers / Doc Rivers||hired as head coach
2004-05-05|76ers|Dick Harter||hired as assistant coach
2004-05-07|Hawks||Terry Stotts|fired as head coach
2004-05-07|Hornets||Tim Floyd|fired as head coach
2004-05-12|Suns|Mike D'Antoni||re--signed as head coach to a 2-year contract extension through 2006-07
2004-05-19|Bulls|Jim Boylan||hired as assistant coach
2004-05-19|Warriors||Eric Musselman|fired as head coach
2004-05-21|Warriors|Mike Montgomery||hired as head coach, signed to a reported 4-year, $10M contract
2004-05-25|Bobcats|Gary Kloppenburg||hired as assistant coach
2004-05-25|Bobcats|John Outlaw||hired as assistant coach
2004-05-26|Bobcats|Sam Mitchell||hired as assistant coach
2004-05-27|Celtics|Dave Wohl||hired as assistant coach
2004-05-27|Celtics|Tony Brown||hired as assistant coach
2004-05-28|Hornets|Byron Scott||hired as head coach, signed to a reported 3-year, $10M contract
2004-06-01|76ers|Frank Vogel||hired as assistant coach
2004-06-01|Suns|Alvin Gentry||hired as assistant coach
2004-06-03|Kings||John Wetzel|retired as assistant coach
2004-06-04|76ers|Lester Conner||hired as assistant coach / associate coach (SN)
2004-06-09|Bobcats|John-Blair Bickerstaff / J.B. Bickerstaff||hired as assistant coach
2004-06-09|Cavaliers|Kenny Natt||hired as assistant coach
2004-06-10|Grizzlies|Lionel Hollins||re-signed as assistant coach
2004-06-18|Lakers||Phil Jackson|fired as head coach
2004-06-18|Nets|Lawrence Frank||team exercised contract option on head coach
2004-06-22|Hornets|Jeff Bower||moved from assistant coach to front office position
2004-06-22|Hornets|Kenny Gattison||retained as assistant coach
2004-06-22|Warriors|John Murray||hired as strength and conditioning coach
2004-06-28|Raptors|Sam Mitchell||hired as head coach
2004-06-28|Spurs|Don Newman||hired as assistant coach
2004-06-28|Warriors|Mario Elie||hired as assistant coach
2004-06-29|Blazers|Dan Panaggio||re-signed as assistant coach to a contract extension
2004-06-29|Blazers|John Loyer||signed as assistant coach to a contract extension
2004-06-29|Blazers|Bernard Smith||signed as assistant coach to a contract extension
2004-06-29|Blazers|Jim Lynam||re-signed as assistant coach to a contract extension
2004-06-29|Bobcats|Gary Brokaw||hired as assistant coach
2004-06-30|Kings|Don Newman||hired as assistant coach
2004-06-30|Kings|T.R. Dunn||hired as assistant coach
2004-06-30|Warriors|Terry Stotts||hired as assistant coach
2004-07-01|Blazers|Tim Grgurich||hired as assistant coach to a 2-year, $1.1M contract (date approximate)
2004-07-01|Jazz|Tyrone Corbin||hired as assistant coach
2004-07-01|Pistons|Bill Pope||hired as assistant coach / video coordinator (date approximate)
2004-07-01|Sonics|Jack Sikma||promoted to assistant coach
2004-07-01|Timberwolves|Thomas McKinney||hired as strength and conditioning coach
2004-07-02|76ers|Joe Gallagher||hired as assistant coach
2004-07-02|Bucks|Jerome Kersey||hired as assistant coach
2004-07-02|Raptors|Jay Triano||hired as assistant coach
2004-07-02|Raptors|Jim Todd||hired as assistant coach
2004-07-02|Raptors|Alex English||hired as assistant coach and director of player development
2004-07-03|Bucks|Jim Boylen||hired as assistant coach
2004-07-06|Hawks|Mike Woodson||hired as head coach, signed to a 4-year contract
2004-07-06|Nuggets|Michael Cooper||hired as assistant coach
2004-07-07|Warriors|Russell Turner||hired as assistant coach
2004-07-08|Hawks|Herb Brown||hired as assistant coach
2004-07-09|Hornets|Jeff Capel||hired as assistant coach
2004-07-10|Lakers|Rudy Tomjanovich||hired as head coach
2004-07-12|Heat|Stan Van Gundy||re-signed as head coach to a multi-year contract extension
2004-07-21|Hornets|Darrell Walker||hired as assistant coach
2004-07-23|Nets|John Kuester||hired as assistant coach
2004-07-23|Pistons|Garfield Heard||hired as assistant coach
2004-07-23|Pistons|Pat Sullivan||hired as assistant coach
2004-07-23|Pistons|Phil Ford||hired as assistant coach
2004-07-24|Pacers|Kevin O'Neill||hired as assistant coach
2004-08-04|Hornets|Jim Cleamons||hired as assistant coach
2004-08-12|Magic|Chris Jent||hired as assistant coach
2004-08-12|Magic|Morlon Wiley||hired as assistant coach
2004-08-12|Magic|Ron Ekker||hired as assistant coach
2004-08-12|Magic|Clifford Ray||hired as assistant coach
2004-08-23|Cavaliers||Mark Osowski|assistant coach died
2004-08-24|Hawks|Greg Ballard||hired as assistant coach
2004-08-24|Hawks|Larry Drew I||hired as assistant coach
2004-08-24|Hawks|Bob Bender||hired as assistant coach
2004-08-24|Hawks|David Fizdale||hired as assistant coach
2004-08-24|Hawks|Herb Brown||hired as assistant coach
2004-08-27|Nets|Bill Cartwright||hired as assistant coach
2004-09-07|Wizards|Drew Cleary||hired as strength and conditioning coach
2004-09-15|Cavaliers|Brendan Malone||hired as assistant coach
2004-09-23|Heat|Ron Rothstein||hired as assistant coach
2004-09-30|Clippers|Richard Williams||hired as strength and conditioning coach
2004-10-01|Lakers|Chris Bodaken||hired as assistant coach
2004-10-01|Lakers|Larry Smith||hired as assistant coach
2004-10-01|Lakers|Melvin Hunt||hired as assistant coach
2004-10-01|Lakers|Mike Wells||hired as assistant coach
2004-10-06|Heat|Vernell Coles / Bimbo Coles||hired as assistant coach
2004-10-28|Mavericks|Avery Johnson||hired as assistant coach
2004-11-04|Nets|Lawrence Frank||re-signed as head coach to a 4-year, $10M contract extension
2004-11-08|Knicks||Dick Helm|resigned as assistant coach
2004-11-08|Knicks|Brendan Suhr||hired as assistant coach
2004-11-25|Grizzlies||Hubie Brown|retired as head coach
2004-11-25|Grizzlies|Lionel Hollins||promoted to interim head coach
2004-12-02|Grizzlies||Hal Wissel|moved from assistant coach to other position within the team
2004-12-02|Grizzlies||Tony Barone|moved from assistant coach to other position within the team
2004-12-02|Grizzlies||Brendan Brown|moved from assistant coach to other position within the team
2004-12-02|Grizzlies|Eric Musselman||hired as assistant coach
2004-12-02|Grizzlies|Mike Fratello||hired as as head coach
2004-12-02|Grizzlies|Mitchell Anderson / J.J. Anderson||promoted to assistant coach
2004-12-28|Nuggets||Jeff Bzdelik|fired as head coach
2004-12-28|Nuggets|Michael Cooper||promoted to interim head coach
2005-01-22|Knicks||Lenny Wilkens|resigned as head coach
2005-01-22|Knicks|Herb Williams||promoted to head coach
2005-01-27|Nuggets|George Karl||hired as head coach
2005-01-27|Nuggets|Michael Cooper||demoted to assistant coach
2005-02-01|Kings|Rick Adelman||team exercised contract option on head coach for 2005-06
2005-02-02|Lakers||Rudy Tomjanovich|resigned as head coach
2005-02-02|Lakers|Frank Hamblen||promoted from assistant coach to interim head coach
2005-02-12|Timberwolves||Jerry Sichting|fired as assistant coach (date approximate)
2005-02-12|Timberwolves||Phil Saunders / Flip Saunders|fired as head coach
2005-02-12|Timberwolves|Kevin McHale||hired as head coach in addition to VP of basketball operations
2005-02-17|Lakers|Brian Shaw||hired as assistant coach for the remainder of the season
2005-02-17|Lakers|Kurt Rambis||hired as assistant coach for the remainder of the season
2005-02-23|Nuggets||Michael Cooper|fired as assistant coach (re-assigned within organization)
2005-02-23|Nuggets|Doug Moe||hired as assistant coach
2005-02-24|Suns|Marc Iavaroni||re-signed as assistant coach to a 2-year contract extension
