date|team|acquired|relinquished|notes
1978-10-09|Capitals||Tom McVie / Tommy McVie|fired as head coach
1978-10-09|Capitals|Dan Belisle / Danny Belisle||hired as head coach
1979-01-30|Flyers||Bob McCammon|fired as head coach
1979-01-30|Flyers||Terry Crisp|fired as assistant coach
1979-01-30|Flyers|Pat Quinn||hired as head coach
1979-02-27|Jets (WHA)||Larry Hillman|fired as head coach
1979-02-27|Jets (WHA)|Tom McVie / Tommy McVie||hired as head coach
1979-04-22|Whalers|Don Blackburn||hired as head coach
1979-06-07|Flames|Al MacNeil||hired as head coach, signed to a multi-year contract
1979-07-01|Maple Leafs||Roger Neilson|fired as head coach (date approximtae)
1979-07-10|Red Wings|Larry Wilson||hired as AHL head coach
1979-07-14|Oilers|Al Rollins||hired as CHL head coach and GM
1979-07-31|Sabres|Jim Roberts / Jimmy Roberts (W.)||hired as assistant coach
1979-08-02|Rockies|Ron Ullyot||hired as CHL head coach
1979-10-03|Bruins|Dave Forbes||hired as AHL player/assistant coach
1979-10-30|Blackhawks|Keith Magnuson||hired as assistant coach
1979-11-14|Capitals||Dan Belisle / Danny Belisle|fired as head coach
1979-11-14|Capitals|Gary Green||hired as head coach
1979-11-19||Duane Rupp||hired as AHL head coach
1979-12-08|Blues||Barclay Plager|resigned as head coach
1979-12-08|Blues|Gordon Berenson / Red Berenson||hired as interim head coach
1979-12-22|Oilers|Dave Dryden||hired as assistant coach
1980-03-15|Maple Leafs|Dick Duff||hired as interim head coach
1980-04-01|Kings|Bob Berry||re-signed as head coach to a contract extension
1980-04-01|Red Wings||Ted Lindsay|resigned as GM (to become head coach) (date approximate)
1980-04-01|Red Wings|Ted Lindsay||hired as head coach (date approximate)
1980-05-08|Canadiens|Claude Ruel||re-signed as head coach to a 1-year contract
1980-05-08|Penguins||Johnny Wilson|fired as head coach
1980-05-20|Rockies||Don Cherry|fired as head coach
1980-06-04|Kings||Frank St. Marseille|resigned as assistant coach
1980-06-10|Flames|Pierre Page||hired as assistant coach
1980-06-19|Nordiques|Maurice Filion||hired as head coach (in addition to GM)
1980-07-02|Kings|Parker MacDonald||hired as assistant coach
1980-07-02|Kings|Ralph Backstrom||hired as assistant coach, signed to a 1-year contract
1980-07-15|Penguins|Ed Johnston / Eddie Johnston||hired as head coach
1980-08-27|Flyers|Bob Boucher||hired as assistant coach
1980-11-24|Red Wings||Marcel Pronovost|fired as assistant coach
1980-11-24|Red Wings||Ted Lindsay|fired as head coach
1980-11-24|Red Wings|Billy Dea||hired as assistant coach
1980-11-24|Red Wings|Wayne Maxner||hired as head coach
1980-12-10|Jets||Tom McVie / Tommy McVie|replaced as head coach (date approximate)
1980-12-10|Jets|Bill Sutherland||hired as head coach
1980-12-20|Oilers||Bryan Watson / Bugsy Watson|fired as head coach (date approximate)
1980-12-21|Jets|Mike Smith (a)||hired as associate coach
1981-01-10|Maple Leafs|Mike Nykoluk||hired as head coach
1981-02-16|Jets|Mike Smith (a)||hired as head coach
1981-02-20|Whalers||Don Blackburn|fired as head coach
1981-02-20|Whalers|Larry Pleau||promoted to interim head coach
1981-02-22|Whalers|Rick Ley||hired as assistant coach
1981-03-02|Rangers||Phil Esposito|resigned as assistant coach
1981-03-09|Whalers|Larry Pleau||promoted to head coach
1981-03-17|Flyers|Pat Quinn||re-signed as head coach to a 5-year contract
1981-04-01|Whalers|Larry Pleau||hired as director of hockey operations (in addition to head coach)
1981-04-15|Canadiens||Claude Ruel|resigned as head coach
1981-05-04|Rockies|Marshall Johnston||hired as assistant coach and assistant GM
1981-05-04|Rockies||Bill MacMillan / Billy MacMillan|resigned as head coach
1981-05-14|Jets|Tom Watt||hired as head coach
1981-05-22|Kings||Bob Berry|resigned as head coach
1981-05-22|Kings|Parker MacDonald||promoted to head coach
1981-05-28|Bruins|Jean Ratelle||hired as assistant coach
1981-06-03|Canadiens|Bob Berry||hired as head coach, signed to a multi-year contract
1981-06-05|Blues|Gordon Berenson / Red Berenson||re-signed as head coach to a 2-year contract
1981-06-05|Rangers|Walt Tkaczuk||hired as assistant coach
1981-06-05|Sabres|Jim Roberts / Jimmy Roberts (W.)||hired as associate coach
1981-06-05|Sabres|William Bowman / Scotty Bowman||hired as head coach (in addition to GM)
1981-06-08|Canucks|Roger Neilson||hired as assistant coach / associate coach (AP), signed to a multi-year contract
1981-07-07|Blues|Barclay Plager||signed as assistant coach
1981-07-07|Maple Leafs|Doug Carpenter||hired as CHL head coach
1981-08-06|Canadiens|Jacques Laperriere||hired as assistant coach
1982-01-11|Kings|Don Perry||hired as head coach
1982-02-16|Blackhawks||Keith Magnuson|resigned as head coach
1982-02-16|Blackhawks|Bob Pulford||hired as interim head coach
1982-03-09|Blues||Gordon Berenson / Red Berenson|fired as head coach
1982-03-09|Blues|Emile Francis||hired as head coach (in addition to president and GM)
1982-03-20|Canucks|Roger Neilson||promoted to interim head coach
1982-04-12|Sabres||William Bowman / Scotty Bowman|resigned as head coach (remained as GM)
1982-05-31|Flames||Pierre Page|fired as assistant coach
1982-05-31|Flames||Al MacNeil|fired as head coach
1982-06-01|Flames|Bob Johnson||hired as head coach, signed to a 3-year contract
1982-06-02|Whalers||Larry Pleau|replaced (resigned/fired?) as head coach (remained as director of hockey operations)
1982-06-02|Whalers|Larry Kish||hired as head coach
1982-06-03|Blues|Emile Francis||hired as head coach (in addition to president and GM) (date per CalgaryHerald)
1982-06-07|Flyers|Bernie Parent||hired as assistant coach
1982-06-07|Whalers|Jacques Caron||hired as assistant coach
1982-06-15|Maple Leafs|Dan Maloney||hired as assistant coach
1982-06-16|Blackhawks|Orval Tessier||hired as head coach
1982-06-17|Whalers|John Cunniff||hired as AHL head coach
1982-06-22|Flames|Bob Murdoch (J.)||hired as assistant coach
1982-06-30|Devils|Bill MacMillan / Billy MacMillan||hired as head coach & GM
1982-07-01|Canucks|Roger Neilson||promoted to head coach (date approximate)
1983-01-04|Whalers|John Cunniff||hired as assistant coach
1983-01-14|Blues|Barclay Plager||hired interim head coach as head coach for the remainder of the season
1983-01-24|Whalers||Larry Kish|fired as head coach
1983-01-24|Whalers|Larry Pleau||hired as head coach (in addition to director of hockey operations)
1983-02-02|Kings|Rogie Vachon||hired as goaltending coach
1983-03-07|Whalers||Larry Pleau|resigned as head coach (remained as director of hockey operations)
1983-03-07|Whalers|John Cunniff||promoted to head coach
1983-04-27|Jets|Barry Long||hired as assistant coach
1983-05-03|Nordiques|Andre Dupont||hired as coach of QMJHL team
1983-05-25|Rangers|Carol Vadnais||hired as assistant coach
1983-05-27|Kings|Rogie Vachon||hired as assistant coach, signed to a multi-year contract
1983-05-27|Penguins|Ed Johnston / Eddie Johnston||promoted to GM (in addition to head coach)
1983-06-13|Canadiens|Andre Boudrias||hired as AHL assistant coach
1983-07-07|Whalers|Jack Evans||hired as head coach
1983-07-15|Whalers||Jacques Caron|retired as assistant coach
1983-07-20|Penguins||Ed Johnston / Eddie Johnston|replaced as head coach
1983-07-20|Penguins|Lou Angotti||hired as head coach
1983-08-19|Blues|||sent to Nordiques as compensation for head coach Jacques Demers
1983-08-19|Nordiques|||received from Blues as compensation for head coach Jacques Demers
1983-09-07|Blues|Barclay Plager||hired as assistant coach
1983-09-07|Oilers|Glen Sather||re-signed as head coach & GM
1983-09-19|Devils|Bill MacMillan / Billy MacMillan||re-signed as head coach & GM to a multi-year contract
1983-11-22|Devils||Marshall Johnston|replaced as assistant coach
1983-11-22|Jets|Barry Long||promoted to head coach
1984-01-19|Canucks||Roger Neilson|fired as head coach (date 01-26 per canuckscentral.com)
1984-01-19|Canucks|Harry Neale||hired as interim head coach (in addition to GM) (date 01-26 per canuckscentral.com)
1984-04-02|Maple Leafs||Mike Nykoluk|replaced as head coach
1984-04-10|Jets|Bill Sutherland||re-signed as assistant coach to a multi-year contract extension
1984-04-10|Jets|Barry Long||re-signed as head coach to a multi-year contract extension
1984-04-10|Jets|Rick Bowness||re-signed as assistant coach to a multi-year contract extension
1984-05-10|Flames|Bob Johnson||re-signed as head coach to a 3-year contract extension through 1986-87
1984-05-16|Sabres||Gordon Berenson / Red Berenson|resigned as assistant coach
1984-05-28|Maple Leafs|Dan Maloney||promoted to head coach
1984-05-31|Devils||Tom McVie / Tommy McVie|replaced as head coach
1984-05-31|Devils|Lou Vairo||hired as assistant coach
1984-05-31|Devils|Doug Carpenter||hired as head coach
1984-06-04|Penguins||Lou Angotti|replaced as head coach
1984-06-04|Penguins|Bob Berry||hired as head coach
1984-06-08|Nordiques|Guy Lapointe||hired as assistant coach
1984-06-11|Whalers|Claude Larose||re-signed as assistant coach to a 3-year contract extension through 1998-88
1984-06-11|Whalers|Jack Evans||re-signed as head coach to a 3-year contract extension through 1987-88
1984-06-14|Whalers|Larry Pleau||hired as AHL coach/GM
1984-07-01|Canucks|Bill Laforge||hired as head coach (date approximate)
1984-07-01|Canucks|Jack McIlhargey||hired as assistant coach (date approximate)
1984-08-13|Blackhawks|Roger Neilson||hired as assistant coach, signed to a 1-year contract
1984-09-05|Penguins|Jim Roberts / Jimmy Roberts (W.)||hired as assistant coach
1984-09-13|Nordiques|Guy Lapointe||hired as assistant coach (per Dallas Morning News)
1984-09-14|Sabres|Craig Ramsay||hired as assistant coach (in addition to player)
1984-09-17|Sabres|Joe Crozier||hired as associate coach
1984-09-17|Sabres|Craig Ramsay||hired as assistant coach
1984-09-17|Sabres|Jim Schoenfeld||hired as AHL head coach
1984-09-17|Sabres|John Van Boxmeer||hired as AHL assistant coach
1984-10-12|Red Wings|Nick Polano||re-signed as head coach to a 1-year contract extension through 85-86
1984-10-12|Red Wings|Dan Belisle / Danny Belisle||re-signed as assistant coach to a 1-year contract extension
1984-12-01|Canucks||Bill Laforge|fired as head coach (date approximate)
1984-12-01|Canucks|Harry Neale||hired as interim head coach (in addition to GM) (date approximate)
1985-01-21|Rangers||Herb Brooks|fired as head coach
1985-01-21|Rangers|Craig Patrick||hired as head coach (in addition to VP and GM)
1985-04-07|Canucks||Harry Neale|fired as head coach / GM (date approximate)
1985-05-06|Bruins|Mike Milbury||hired as AHL head coach
1985-05-10|Whalers|Larry Pleau||re-signed as AHL GM and head coach to a 2-year contract extension
1985-05-15|Devils|Doug Carpenter||re-signed as head coach to a 1-year contract extension
1985-05-30|Kings||Nick Beverley|fired as AHL head coach
1985-06-11|Sabres||William Bowman / Scotty Bowman|retired as head coach
1985-06-11|Sabres|Jim Schoenfeld||hired as head coach
1985-06-20|Canucks|Tom Watt||hired as head coach
1985-06-21|North Stars|Lorne Henning||hired as head coach
1985-06-21|Rangers||Herb Brooks|fired as head coach
1985-06-24|Red Wings|Harry Neale||hired as head coach
1985-06-25|Jets|Barry Long||re-signed as head coach
1985-06-26|Flyers|John Paddock||hired as AHL head coach
1985-06-27|Blackhawks|Bob Pulford||existing GM / head coach
1985-06-27|Blackhawks|Roger Neilson||promoted to co-head coach
1985-07-01|Canucks||Ron Smith|fired as associate coach
1985-07-01|Rangers|Jack Birch||hired as assistant coach
1985-07-01|Rangers|Reg Higgs||hired as assistant coach
1985-07-22|Flyers|Paul Holmgren||hired as assistant coach
1985-08-17|Canadiens||Jacques Lemaire|resigned as head coach (date approximate)
1985-08-17|Canadiens|Jean Perron||promoted to head coach (date approximate)
1985-08-21|Nordiques|Ron Harris||hired as assistant coach
1985-08-27|Flyers|Mike Keenan (a)||re-signed as head coach to a contract extension
1985-10-01|Rangers||Andre Dore|sent to Flyers as compensation for signing of head coach Ted Sator (date approximate)
1985-10-01|Flyers|Andre Dore||received from Rangers as compensation for signing of head coach Ted Sator (date approximate)
1985-10-21|Flames|Mike Eaves||hired as assistant coach
1985-10-31|Nordiques||Michel Bergeron / Michel Borgeron|head coach admitted to hospital with a viral infection and eye problems
1985-12-20|Sabres|Don Luce||re-assigned to assistant coach
1986-03-01|Rangers||Mark Pavelich|player left team (citing differences with head coach) (date approximate)
1986-03-04|Jets|John Ferguson||hired as head coach
1986-05-06|Devils||Lou Vairo|resigned as assistant coach
1986-05-28|Islanders||Al Arbour|resigned as head coach
1986-06-18|Islanders|Terry Simpson||hired as head coach
1986-06-20|Jets|Dan Maloney||hired as head coach
1986-07-30|Devils|Ron Smith||"""acquired assistant coach from Hockey Canada"""
1986-08-06|Devils|Ron Smith||hired as assistant coach
1986-09-17|Devils|Bob Hoffmeyer||hired as assistant coach
1986-10-08|Canadiens|Jean Perron||re-signed as head coach to a 2-year contract
1986-11-01|Bruins|Terry O'Reilly||hired as head coach (date approximate)
1986-11-07|Sabres|Craig Ramsay||promoted to head coach
1986-11-08|Bruins|Mike Milbury||hired as AHL player/coach
1986-11-21|Rangers||Ted Sator|fired as head coach
1986-12-21|Sabres||Craig Ramsay|fired as head coach (remained with team in another capacity)
1986-12-21|Sabres|Ted Sator||hired as head coach
1987-01-28|Rangers|Phil Esposito||hired as bench coach (in addition to GM) for the remainder of the season
1987-01-28|Rangers|Tom Webster||will coach team during practice (will return as head coach next season)
1987-03-31|North Stars||Lorne Henning|fired as head coach
1987-04-13|Penguins||Bob Berry|replaced as head coach
1987-04-23|North Stars|Herb Brooks||hired as head coach (date approximate)
1987-04-24|Bruins|Terry O'Reilly||re-signed as head coach to a 1-year contract extension
1987-05-01|Canucks|Bob McCammon||hired as head coach (date approximate)
1987-06-04|Penguins|Pierre Creamer||hired as head coach
1987-06-09|Flames|Doug Risebrough||hired as assistant coach
1987-06-17|Penguins|Clement Jodion||hired as assistant coach
1987-06-17|Penguins|Rick Kehoe||hired as assistant coach (in addition to director of pro scouting)
1987-06-28|Blackhawks|Darryl Sutter||hired as assistant coach
1987-07-10|North Stars|Carl Wetzel||hired as goaltending coach
1987-10-05|Devils|Bob Bellemore||hired as goaltending coach
1988-01-26|Devils||Doug Carpenter|replaced as head coach
1988-01-26|Devils||Ron Smith|replaced as assistant coach
1988-01-26|Devils|Jim Schoenfeld||hired as head coach
1988-02-04|Devils|Doug McKay||hired as assistant coach
1988-02-07|Whalers||Jack Evans|fired as head coach
1988-02-07|Whalers|Larry Pleau||hired as head coach
1988-03-03|Canucks|Mike Murphy (a)||hired as assistant coach
1988-03-11|Flyers|Tom Watt||hired as assistant coach for the remainder of the season
1988-05-11|Flyers||Mike Keenan (a)|fired as head coach
1988-05-16|Jets|Dan Maloney||re-signed as head coach to a contract extension through 90-91
1988-05-17|Blues||Jacques Martin|fired as head coach
1988-05-18|Penguins||Clement Jodoin|fired as assistant coach
1988-05-18|Red Wings|Jacques Demers||re-signed as head coach to a 2-year contract extension through 1992-93
1988-05-18|Rangers||1988 first round pick (#5-Daniel Dore)|sent to Nordiques as compensation for head coach Michel Bergeron / Michel Borgeron
1988-05-18|Nordiques|1988 first round pick (#5-Daniel Dore)||received from Rangers as compensation for head coach Michel Bergeron / Michel Borgeron
1988-05-27|Whalers|Claude Larose||hired as AHL director of operations & head coach
1988-06-02|Islanders|John Paddock||hired as AHL head coach, signed to a multi-year contract
1988-06-02|Islanders|Terry Simpson||re-signed as head coach to a multi-year contract
1988-06-03|Red Wings|Dave Lewis||hired as assistant coach, signed to a 2-year contract
1988-06-14|Penguins||Pierre Creamer|replaced as head coach
1988-06-20|Blues|Bob Berry||hired as assistant coach
1988-06-20|Blues|Brian Sutter||hired as head coach
1988-06-21|Blackhawks|E.J. McGuire||hired as assistant coach
1988-06-21|Blackhawks|Darryl Sutter||hired as IHL head coach
1988-06-21|Blackhawks|Jacques Martin||hired as assistant coach
1988-06-21|Flyers|Kevin McCarthy||hired as AHL assistant coach
1988-06-28|Penguins|Gene Ubriaco||hired as head coach
1988-07-01|Penguing|Rick Paterson||hired as assistant coach
1988-07-06|North Stars|Pierre Page||hired as head coach
1988-08-02|North Stars|Doug Jarvis||hired as assistant coach
1988-08-02|North Stars|George Kingston||hired as assistant coach
1988-08-15|Islanders|Rick Wilson||hired as assistant coach
1988-12-07|Islanders||Terry Simpson|fired as head coach
1988-12-07|Islanders|Al Arbour||hired as head coach
1989-02-07|Jets|Rick Bowness||hired as head coach
1989-05-05|Devils||Bob Hoffmeyer|replaced as assistant coach
1989-05-16|Whalers||Larry Pleau|fired as head coach
1989-05-17|Blues|Joe Micheletti||hired as assistant coach, signed to a 2-year contract
1989-05-25|Devils||Doug McKay|replaced as assistant coach
1989-05-25|Jets|Bob Murdoch||hired as head coach
1989-05-31|Devils|John Cunniff||hired as assistant coach
1989-06-07|Whalers|Rick Ley||hired as head coach
1989-06-23|Red Wings|Phil Myre||hired as assistant coach
1989-07-20|Whalers|Brent Peterson (a)||hired as assistant coach
1989-07-29|Penguins|John Welday||hired as strength and conditioning coach
1989-11-06|Devils||Jim Schoenfeld|replaced as head coach
1989-11-06|Devils|John Cunniff||promoted to head coach
1989-11-07|Devils|Tim Burke||hired as assistant coach
1989-12-05|Penguins||Gene Ubriaco|fired as head coach
1989-12-05|Penguins|Craig Patrick||hired as head coach & GM
1990-01-16|Capitals||Bryan Murray|fired as head coach
1990-01-16|Capitals|Terry Murray||hired as head coach
1990-01-24|Penguins|Gilles Meloche||hired as goaltending coach & Monteal-area scout
1990-02-04|Nordiques||Guy Lapointe|fired as assistant coach
1990-02-04|Nordiques|Robbie Ftorek||hired as assistant coach
1990-02-19|Jets|Bob Wylie||hired as offensive line coach (date approximate)
1990-04-19|Maple Leafs||Garry Lariviere (LOH) / Gary Lariviere|fired as assistant coach
1990-05-19|Flames|Doug Risebrough||promoted to head coach
1990-05-31|Nordiques||Michel Bergeron / Michel Borgeron|fired as head coach
1990-06-05|Flames|Guy Charron||hired as assistant coach
1990-06-08|Maple Leafs|Tom Watt||hired as assistant coach
1990-06-12|Penguins||Craig Patrick|replaced as head coach (remained as GM)
1990-06-12|Penguins|Bob Johnson||hired as head coach
1990-08-20|Devils||Bob Bellemore|replaced as goaltending coach
1990-08-20|Devils|Warren Strelow||hired as goaltending coach
1990-08-28|Whalers|Jacques Caron||hired as goaltending coach
1990-08-29|Devils|Doug Sulliman||hired as assistant coach
1990-08-30|Rangers|Colin Campbell||hired as assistant coach
1990-10-05|Canucks|Curt Fraser||hired as AHL assistant coach
1990-10-26|Maple Leafs||Doug Carpenter|fired as head coach
1990-10-29|Maple Leafs|Tom Watt||promoted to head coach
1990-12-19|Kings|Pat Hickey||hired as AHL head coach
1991-01-01|Whalers|Rick Ley||hired as head coach (date approximate)
1991-01-31|Canucks||Bob McCammon|fired as head coach
1991-02-01|Canucks|Pat Quinn||hired as interim head coach (in addition to president and GM)
1991-03-04|Devils||John Cunniff|replaced as head coach
1991-03-04|Devils||John Cunniff|fired as head coach
1991-03-04|Devils||Tim Burke|replaced as assistant coach
1991-03-04|Devils|Tom McVie / Tommy McVie||hired as head coach
1991-04-01|Jets||Bob Murdoch|fired as head coach
1991-04-12|Sharks|George Kingston||hired as head coach
1991-05-09|Blues|Bob Berry||re-signed as assistant coach to a 2-year contract extension
1991-05-09|Blues|Brian Sutter||re-signed as head coach to a 2-year contract extension
1991-05-09|Blues|Wayne Thomas||re-signed as assistant coach to a 2-year contract extension
1991-05-16|Flames|Doug Risebrough||promoted to GM (in addition to head coach)
1991-05-29|Whalers||Rick Ley|fired as head coach
1991-05-30|Bruins||Mike Milbury|resigned as head coach (remained as assistant GM)
1991-06-04|Bruins|Rick Bowness||hired as head coach
1991-06-04|Islanders|Al Arbour||re-signed as head coach to a contract extension through 1991-92
