date|team|acquired|relinquished|notes
1955-03-01|Steelers||Joe Bach|resigned as head coach (date approximate)
1955-03-01|Steelers|Walt Kiesling||hired as head coach (date approximate)
1956-01-01|Bears||George Halas (S.)|retired as head coach (date approximate)
1956-01-01|Bears|John Driscoll / Paddy Driscoll||hired as head coach (date approximate)
1956-01-01|Eagles||Jim Trimble|replaced as head coach (date approximate)
1956-01-01|Eagles|Hugh Devore||hired as head coach (date approxiomate)
1956-01-07|Giants|Ed Kolman||re-signed as line coach
1956-07-20|Bears|Harry Jagade / Chuck Jagade / Chick Jagade||hired as fullbacks coach
1956-12-29|Lions|Buddy Parker||re-signed as coach to a 2-year contract
1957-01-01|Bears|George Halas (S.)||un-retired as head coach (date approximate)
1957-01-01|Packers||Lisle Blackbourn|resigned as head coach
1957-03-01|Steelers|Buddy Parker||hired as head coach (date approximate)
1957-08-01|Lions||Buddy Parker|resigned as head coach (date approximate)
1957-08-15|Browns|Roger Zatkoff|Lew Carpenter|earlier trade nullified by NFL commissioner after Lions coach Buddy Parker resigned
1957-08-15|Lions|Lew Carpenter|Roger Zatkoff|earlier trade nullified by NFL commissioner after Lions coach Buddy Parker resigned
1958-01-01|Bears||John Driscoll / Paddy Driscoll|demoted to assistant coach (date approximate)
1958-01-01|Eagles||Hugh Devore|replaced as head coach (date approximate)
1958-01-01|Eagles|Buck Shaw||hired as head coach (date approximate)
1958-03-01|Packers|Ray McLean / Scooter McLean||promoted from assistant coach to head coach (date approximate)
1958-12-01|Packers||Ray McLean / Scooter McLean|resigned as head coach (date approximate)
1959-01-19|Redskins|Bill McPeak||hired as backfield coach
1959-01-28|Packers|Vince Lombardi||hired as head coach & GM, signed to a 5-year contract
1959-02-08|Colts|John Sandusky||hired as defensive line coach?
1959-07-01|Redskins||Joe Kuharich|replaced as head coach (date approximate)
1959-07-01|Redskins|Mike Nixon (a)||hired as head coach (date approximate)
1959-12-16|Bills (AFL)|Garrard Ramsey / Buster Ramsey||hired as head coach
1959-12-18|Titans (AFL)|Sammy Baugh||hired as head coach, signed to a $28K/year contract
1959-12-27|Cowboys|Tom Landry||signed to a personal services contract (with the intention of hiring him as head coach once awarded an expansion franchise)
1960-01-01|Broncos (AFL)|Frank Filchock / Frankie Filchock||hired as head coach
1960-01-01|Rams||Sid Gillman|resigned as head coach
1960-01-02|Oilers (AFL)|Lou Rymkus||hired as head coach, signed to a 3-year contract
1960-01-04|Bills (AFL)|Bob Dove||hired as assistant coach
1960-01-07|Chargers (AFL)|Sid Gillman||hired as head coach to a 3-year contract
1960-02-16|Bills|J.K. Butler||hired as assistant coach
1960-02-22|Redskins|Abe Gibron||hired as line coach
1960-02-23|||Jim Lee Howell|announced 1960 season would be his last as head coach
1960-03-01|Rams|Bob Waterfield||hired as head coach (date approximate)
1960-03-20|Lions|Don Shula||hired as defensive backs coach
1960-03-22|Raiders (AFL)|Tom Kalmmar||hired as offensive backfield coach
1960-03-26|Giants|Ed Kolman||re-signed as line coach
1960-03-26|Texans (AFL)|Tom Catlin||hired as defensive line coach
1960-03-30|Cardinals|Ray Willsey||hired to coaching staff
1960-04-01|Redskins|Tim Temerario||hired as assistant coach & chief talent scout
1960-04-18|Browns|Richard Evans||hired as assistant coach
1960-05-04|Bills (AFL)|Harvey Johnson||hired as director of player personnel and assistant coach
1960-07-09|Chargers (AFL)|Sid Gillman||hired as GM (in addition to head coach)
1960-09-01|Vikings|Norm Van Brocklin||hired as head coach (date approximate)
1960-12-18|Redskins||Mike Nixon (a)|fired as head coach
1960-12-18|Redskins|Bill McPeak||promoted to head coach
1961-01-01|Eagles||Buck Shaw|retired as head coach (date approximate)
1961-01-01|Eagles|Nick Skorich||hired as head coach (date approximate)
1961-01-10|Giants|Allie Sherman||hired as head coach
1961-01-19|Vikings|Norm Van Brocklin||hired as head coach
1961-02-01|Bills (AFL)|Tommy O'Connell||hired as assistant coach
1961-02-01|Redskins|Ted Marchibroda||hired as offensive backfield coach
1961-02-15|Vikings|Darrel Brewster / Pete Brewster||hired as wide receivers coach
1961-04-28|Oilers (AFL)|Joe Spencer (a)||hired as offensive line coach
1961-10-11|Patriots (AFL)||Lou Saban|fired as head coach
1961-10-11|Patriots (AFL)|Mike Holovak||promoted to head coach
1961-10-14|Oilers (AFL)||Lou Rymkus|fired as head coach
1961-10-16|Oilers (AFL)|Wally Lemm||hired as head coach
1961-12-01|Broncos (AFL)||Frank Filchock / Frankie Filchock|fired as head coach (date approximate)
1961-12-19|Titans (AFL)||Sammy Baugh|fired as head coach
1961-12-19|Titans (AFL)|Clyde Turner / Bulldog Turner||hired as head coach
1961-12-22|Colts|Weeb Ewbank||re-signed as head coach
1962-01-04|Bills (AFL)||Garrard Ramsey / Buster Ramsey|fired as head coach
1962-01-04|Cowboys|Jim Myers||hired as assistant coach
1962-01-04|Titans (AFL)|George Sauer||hired as assistant coach
1962-01-16|Browns|Blanton Collier||hired as assistant coach
1962-01-18|Bills (AFL)|Lou Saban||hired as head coach, signed to a 1-year, ~$20K contract
1962-01-26|Broncos (AFL)|Jack Faulkner||hired as head coach
1962-02-04|Cowboys||Boris Dimaneheff|resigend as backfield coach
1962-02-05|Patriots (AFL)|Fred Bruney||hired as backfield coach
1962-02-06|Broncos (AFL)|Jim Martin||hired as assistant coach
1962-02-21|Lions|George Wilson||re-signed as head coach
1962-02-23|Oilers (AFL)||Wally Lemm|resigned as head coach
1962-02-23|Cardinals|Wally Lemm||hired as head coach
1962-03-03|Broncos (AFL)|Mac Speedie||hired as offensive ends coach
1962-03-05|Oilers (AFL)|Frank Ivy / Pop Ivy||hired as head coach
1962-03-10|Redskins|Ray Willsey||hired as defensive backfield coach
1962-03-19|Raiders|Ollie Spencer||hired as offensive line coach
1962-04-16|Giants|Kyle Rote||hired as assistant coach
1962-04-24|Eagles||Charlie Gauer|resigned as assistant coach
1962-04-25|Rams|Harland Svare||hired as defensive line coach
1962-05-17|Eagles|Everett Grandelius||hired as offensive backfield coach
1962-05-25|Texans (AFL)|Bob Ghilotti||hired as ends coach
1962-06-13|Steelers||Arthur Lewis|assistant coach died
1962-07-01|Broncos (AFL)|Jack Faulkner||hired as GM (in addition to head coach)
1962-10-16|Raiders (AFL)||Marty Feldman|fired as head coach
1962-10-16|Raiders (AFL)||Tom Kalmanir / Tommy Kalmanir|fired as offensive backfield coach
1962-10-16|Raiders (AFL)|Bill Conkright / Red Conkright||hired as head coach
1962-11-01|Rams||Bob Waterfield|resigned as head coach (date approximate)
1962-11-01|Rams|Harland Svare||hired as interim head coach (date approximate)
1963-01-03|Bills (AFL)|Lou Saban||re-signed as head coach to a 2-year contract extension
1963-01-08|Colts||Weeb Ewbank|replaced as head coach
1963-01-08|Colts|Don Shula||hired as head coach
1963-01-15|Lions|Don Doll||hired as defensive backfield coach
1963-04-15|Jets (AFL)|Weeb Ewbank||hired as head coach & GM
1963-04-23|Giants|Allie Sherman||re-signed as head coach to a 5-year, $35K+ contract
1963-05-01|Jets (AFL)|Chuck Knox Sr.||hired as assistant coach (date approximate)
1963-05-01|Jets (AFL)|Walt Michaels||hired as assistant coach (date approximate)
1963-05-01|Jets (AFL)|Clive Rush||hired as assistant coach (date approximate)
1963-05-01|Jets (AFL)|J.D. Donaldson||hired as assistant coach (date approximate)
1963-12-26|Packers|Vince Lombardi||re-signed as head coach & GM to a 5-year contract extension through 1969
1964-01-01|Eagles|Joe Kuharich||hired as head coach to a 14-year contract (date approximate)
1964-01-31|Eagles||Nick Skorich|contract as head coach expired
1964-02-05|Cowboys|Tom Landry||re-signed as head coach to a 10-year contract extension
1964-06-02|Oilers (AFL)||Frank Ivy / Pop Ivy|fired as head coach & GM
1964-06-02|Oilers (AFL)|Sammy Baugh||hired as head coach
1964-10-04|Broncos (AFL)||Jack Faulkner|fired as head coach (& GM?)
1964-10-05|Broncos (AFL)|Mac Speedie||promoted to interim head coach
1964-12-12|Broncos (AFL)|Mac Speedie||promoted to head coach
1964-12-18|Oilers (AFL)||Sammy Baugh|resigned as head coach (remained as assistant coach)
1964-12-22|Oilers (AFL)|Hugh Taylor (Bones Taylor)||hired as head coach
1965-01-09|Rams|Don Doll||hired as defensive backfield coach
1965-08-30|Broncos (AFL)|Marv Matuszak||hired as scout and assistant coach
1965-09-06|Steelers||Buddy Parker|resigned as head coach
1965-09-06|Steelers|Mike Nixon (a)||promoted to head coach
1965-11-15|Vikings||Norm Van Brocklin|resigned as head coach
1966-01-01|Rams||Harland Svare|fired as head coach (date approximate)
1966-01-01|Redskins||Bill McPeak|fired as head coach (date approximate)
1966-01-02|Bills (AFL)||Lou Saban|resigned as head coach
1966-01-06|Bills (AFL)|Joe Collier||promoted to head coach
1966-01-11|Bills (AFL)|Richie McCabe||hired as defensive backs coach
1966-01-25|Lions||Aldo Forte|resigned as offensive line coach
1966-01-25|Packers||Norb Hecker|resigned as assisntant coach (date approximate)
1966-01-25|Redskins|Otto Graham||hired as head coach & GM to a reported 10-year contract
1966-01-26|Falcons|Norb Hecker||hired as head coach
1966-01-29|Dolphins (AFL)|George Wilson Jr.||hired has head coach
1966-01-29|Oilers|Wally Lemm||hired as head coach
1966-02-23|Redskins|Don Doll||hired as offensive backfield coach
1966-03-01|Bears||George Allen (a)|resigned as assistant coach (date approximate)
1966-03-01|Rams|George Allen (a)||hired as head coach (date approximate)
1966-03-01|Steelers|Bill Austin||hired as head coach (date approximate)
1966-08-01|Lions|Joe Schmidt (a)||hired as assistant coach (date approximate)
1966-09-01|Broncos (AFL)|Doak Walker||hired as assistant coach
1966-09-19|Broncos (AFL)|Ray Malavasi||hired as head coach
1966-12-19|Broncos (AFL)|Lou Saban||hired as GM & head coach, signed to a 10-year, reported $500K contract
1966-12-27|Saints|Tom Fears||hired as head coach
1967-01-06|Lions||Harry Gilmer|fired as head coach
1967-01-06|Lions|Joe Schmidt (a)||hired as head coach (date approximate)
1967-02-01|Packers||Vince Lombardi|resigned as head coach (remained as GM) (date approximate)
1967-02-01|Packers|Phil Bengtson||hired as head coach
1967-02-01|Vikings||Norm Van Brocklin|resigned as head coach (date approximate)
1967-03-07|Giants||Ed Kolman|resigned as offensive line coach
1967-03-10|Vikings|Harry Grant / Bud Grant||hired as head coach
1968-01-15|Bills (AFL)|Harvey Johnson||hired as interim head coach (may be duplicate of 1968-09-15 entry)
1968-01-19|49ers|Dick Nolan||hired as head coach
1968-02-07|Bills (AFL)|Tony Sardisco||hired as defensive line coach
1968-05-27|Bears||George Halas (S.)|retired as head coach
1968-09-15|Bills (AFL)||Joe Collier|fired as head coach
1968-09-15|Bills (AFL)|Harvey Johnson||hired as interim head coach
1968-09-16|Bills (AFL)||Jerry Smith|resigned as offensive line coach
1968-09-17|Bills (AFL)|Bob Celeri||hired as assistant receivers coach
1968-09-17|Bills (AFL)|Marvin Bass||hired as offensive line coach
1968-10-01|Falcons||Norb Hecker|fired as head coach
1968-10-01|Falcons|Norm Van Brocklin||hired as head coach
1968-12-26|Rams||George Allen (a)|fired as head coach
1969-01-01|Eagles|Jerry Williams||hired as head coach (date approximate)
1969-01-08|Patriots (AFL)||Mike Holovak|fired as coach and GM
1969-01-09|Rams|George Allen (a)||hired as head coach (date approximate)
1969-01-16|Raiders (AFL)||John Rauch / Johnny Rauch?|resigned as head coach
1969-01-16|Bills (AFL)|John Rauch / Johnny Rauch?||hired as head coach, signed to a 4-year contract
1969-01-24|Bills (AFL)|Bob Celeri||hired as scout (in addition to assistant coach)
1969-01-27|Steelers|Chuck Noll||hired as head coach
1969-01-29|Jets (AFL)||Clive Rush|resigned as chief offensive assistant coach
1969-01-30|Patriots (AFL)|Clive Rush||hired as head coach, signed to a 3-year contract
1969-02-05|Packers|Phil Bengtson||hired as GM (in addition to head coach)
1969-02-05|Raiders (AFL)|John Madden||hired as head coach
1969-02-05|Vikings||Jim Carr (a)|resigned as defensive backfield coach
1969-02-05|Bears|Jim Carr (a)||hired as head defensive coach
1969-02-07|Redskins|Vince Lombardi||hired as head coach & executive VP
1969-07-01|Redskins||Otto Graham|replaced as head coach (date approximate)
1969-09-15|Bills (AFL)||Harvey Johnson|fired as head coach (retained as director of player personnel)
1969-11-14|Chargers (AFL)||Sid Gillman|resigned as head coach (remained as GM)
1969-11-14|Chargers (AFL)|Charlie Waller||promoted from backfield coach to head coach
1970-01-05|Falcons|Norm Van Brocklin||hired as GM (in addition to head coach)
1970-02-18|Dolphins|Don Shula||hired as VP & head coach
1970-03-03|Colts||Don Shula|resigned as head coach
1970-03-06|Bills|Bobby Hunt||hired as defensive backfield coach
1970-04-03|Colts|Don McCafferty||hired as head coach (date 04-06 per one source)
1970-04-13|Dolphins||1971 first round pick (#22-Don McCauley)|sent to Colts as compensation for head coach Don Shula
1970-04-13|Colts|1971 first round pick (#22-Don McCauley)||received from Dolphins as compensation for head coach Don Shula
1970-05-19|Giants|Y.A. Tittle||hired as quarterbacks coach
1970-07-01|Redskins|Bill Austin||hired as head coach (date approximate)
1970-08-26|Redskins|Floyd Peters||hired as defensive line coach (player/coach)
1970-09-03|Redskins||Vince Lombardi|head coach & executive VP died
1970-11-01|Oilers||Wally Lemm|announced retirement as head coach at end of season
1970-11-03|Saints|J.D. Roberts||hired as head coach
1970-12-21|Packers||Phil Bengtson|resigned as head coach & GM
1970-12-30|Chargers||Charlie Waller|demoted from head coach to offense coach
1970-12-30|Chargers|Sid Gillman||hired as head coach (in addition to GM)
1971-01-01|Rams||George Allen (a)|fired as head coach (date approximate)
1971-01-06|Redskins|George Allen (a)||hired as head coach & GM, signed to a multi-year contract
1971-01-14|Packers|Dan Devine||hired as head coach & GM
1971-01-21|Oilers|Ed Hughes (b)||hired as head coach, signed to a 5-year contract
1971-02-13|Chargers|Sid Gillman||replaced as GM (remained as head coach)
1971-02-17|Eagles||Irv Cross|resigned as defensive backfield coach
1971-04-24|Steelers||Walt Hackett|defensive line coach died
1971-04-24|Steelers|Dan Radakovich||hired as defensive line coach (date approximate)
1971-05-17|49ers|Dick Nolan||re-signed as head coach to a 5-year contract
1971-05-29|Bills|Tom Day||hired as defensive line coach
1971-06-21|Redskins|Boyd Dowler||hired as assistant coach
1971-07-01|Rams|Tommy Prothro||hired as head coach (date approximate)
1971-07-01|Redskins||Bill Austin|replaced as head coach (date approximate)
1971-07-16|Bengals||Earl Coachman|waived
1971-07-20|Bills||John Rauch / Johnny Rauch?|resigned as head coach
1971-07-20|Bills|Harvey Johnson||hired as interim head coach
1971-07-21|Bills|Tom Flores||hired as quarterbacks coach
1971-10-01|Eagles||Jerry Williams|fired as head coach (date approximate)
1971-10-01|Eagles|Ed Khayat / Eddie Khayat||hired as head coach (date approximate)
1971-11-17|Broncos||Lou Saban|resigned as head coach (remained as GM)
1971-11-17|Broncos|Jerry Smith||promoted to interim head coach
1971-11-22|Chargers||Sid Gillman|resigned as head coach
1971-11-22|Chargers|Harland Svare||hired as interim head coach (in addition to GM)
1971-12-19|Chargers|Harland Svare||hired as head coach (in addition to GM)
1971-12-20|Chargers||Phil Bengtson|fired as assistant coach
1971-12-20|Chargers||Charlie Waller|fired as assistant coach
1971-12-20|Chargers||Lamar Lundy|fired as assistant coach
1971-12-24|Bills|Lou Saban||hired as VP of football operations & head coach
1971-12-30|Oilers|Bill Peterson (b)||hired as head coach
1972-01-05|Broncos|John Ralston||hired as head coach, signed to a 5-year, reported $200K contract
1972-01-24|Steelers||Dan Radakovich|resigned as defensive line coach
1972-01-27|Bears|Abe Gibron||hired as head coach
1972-01-29|Cardinals|Bill Austia||hired as coach
1972-07-26|Packers|Bart Starr||hired as assistant coach
1972-09-15|Cowboys|Dan Reeves||activated coach as player
1972-10-16|Colts||Don McCafferty|fired as head coach
1972-10-16|Colts|John Sandusky||hired as head coach
1973-01-01|Cowboys|Mike Ditka||hired as assistant coach (date approximate)
1973-01-01|Eagles|Mike McCormick||hired as head coach (date approximate)
1973-01-01|Rams||Tommy Prothro|fired as head coach (date approximate)
1973-01-01|Rams|Chuck Knox Sr.||hired as head coach (date approximate)
1973-01-12|Lions||Joe Schmidt (a)|resigned as head coach
1973-01-26|Lions|Don McCafferty||hired as head coach
1973-01-31|Lions|Raymond Berry / Ray Berry (a)||hired as receivers coach
1973-02-01|Jets|Charley Winner||hired as assistant coach (to take over as head coach after 1973 season)
1973-02-01|Rams|Dick Vermeil||hired as offensive backs and special teams coach
1973-02-01|Rams|Tom Catlin||hired as linebackers coach
1973-02-06|Eagles|Boyd Dowler||hired as receivers coach
1973-02-06|Redskins|Bill Austin||hired as offensive line coach
1973-02-14|Colts||John Sandusky|replaced as head coach
1973-02-14|Colts|Howard Schnellenberger||hired as head coach
1973-02-17|Saints|Lynn Amadee||hired as offensive backfield coach
1973-02-22|Dolphins|Bill McPeak||hired as assistant offensive coach
1973-02-26|Packers||fifth round pick (?-?)|sent to Raiders as compensation for assistant coach John Polonchek
1973-02-26|Raiders|fifth round pick (?-?)||received from Packers as compensation for assistant coach John Polonchek
1973-02-28|Rams|Jim Wagstaff||hired as assistant coach
1973-02-28|Rams|Jack Faulkner||hired as assistant coach
1973-03-07|Steelers|Bob Widenhofer||hired as assistant coach
1973-03-15|Colts|George Sefcik||hired as offensive backfield coach
1973-05-24|Raiders|Bob Mischak||hired as administrative coach
1973-08-26|Saints||J.D. Roberts|replaced as head coach
1973-08-26|Saints|John North||hired as head coach
1973-10-16|Oilers||Bill Peterson (b)|fired as head coach
1973-10-16|Oilers|Sid Gillman||hired as head coach (in addition to executive VP & GM)
1973-11-05|Chargers||Harland Svare|resigned as head coach (remained as GM)
1973-11-05|Chargers|Ron Waller||hired as interim head coach
1973-12-16|Jets||Weeb Ewbank|retired as head coach (remained as VP)
1973-12-27|Cardinals|Don Coryell||re-signed as head coach to a 4-year contract
1974-01-02|Steelers||Bob Fry|resigned as offensive line coach
1974-01-08|Chargers||Ron Waller|fired as interim head coach
1974-01-08|Chargers|Tommy Prothro||hired as head coach
1974-01-10|Packers||Don Doll|resigned as defensive backfield coach
1974-01-14|Sun (WFL)|Tom Fears||hired as head coach
1974-01-17|Dolphins|Vince Costello||hired as defefensive coach
1974-02-14|Rams|Elijah Pitts||hired as offensive backfield coach
1974-02-21|Northmen (WFL)|John McVay||hired as head coach
1974-02-23|Ambassadors (WFL)|Andy Nelson||hired as assistant coach
1974-02-23|Ambassadors (WFL)|Ray Callahan||hired as assistant coach
1974-02-26|Colts|Don Doll||hired as assistant coach
1974-04-02|Ambassadors (WFL)|Gary Collins||signed as player and assistant coach
1974-04-09|Stars (WFL)|Tom Moore||hired as assistant coach
1974-04-11|Storm (WFL)|Jim Colbert||hired as defensive secondary coach
1974-04-18|Bell (WFL)|Ernie Wright||hired as offensive line coach
1974-04-20|Ambassadors (WFL)|Wayne Millner||hired as assistant coach
1974-05-02|Bell (WFL)|Bob Pellegrini||hired as assistant coach
1974-05-02|Bell (WFL)|King Corcoran||hired as assistant coach
1974-05-03|Texans (WFL)|Bill Muir||hired as assistant coach
1974-05-03|Texans (WFL)|Dick Pesonen||hired as assistant coach
1974-05-08|Ambassadors (WFL)|Fred O'Connor||hired as assistant coach in charge of quarterbacks and running backs
1974-05-21|Cardinals|Wayne Sevier||hired as assistant coach
1974-07-26|Vikings|Harry Grant / Bud Grant||re-signed as head coach to a multi-year contract
1974-07-28|Lions||Don McCafferty|head coach died
1974-07-28|Lions|Rick Forzano||promoted to head coach (date approximate)
1974-09-29|Colts||Howard Schnellenberger|replaced as head coach
1974-09-29|Colts|Joe Thomas (a)||hired as interim head coach
1974-12-16|Packers||Dan Devine|resigned as head coach & GM
1974-12-17|Bears||Abe Gibron|fired as head coach
1974-12-24|Packers|Bart Starr||promoted to head coach & GM
1974-12-27|Chiefs||Hank Stram|fired as head coach
1974-12-31|Bears|Jack Pardee||hired as head coach
1975-01-03|Packers|Zeke Bratkowski||hired as quarterbacks coach
1975-01-03|Patriots|John Polonchak||hired as quarterbacks coach
1975-01-03|Patriots|Rollie Dotsch||hired as linebackers coach
1975-01-06|Chargers|Willie Wood||hired as defensive backs coach
1975-01-09|Falcons|Marion Campbell||hired as head coach
1975-01-09|Packers|John Meyer||hired as linebackers coach
1975-01-10|Packers|Jim Colbert||hired as special teams coach
1975-01-15|Colts||Joe Thomas (a)|replaced as interim head coach
1975-01-15|Colts|Ted Marchibroda||hired as head coach (date in February per Colts web site)
1975-01-20|Chargers|Dick Coury||hired as assistant coach
1975-01-23|Chiefs|Paul Wiggin||hired as head coach
