date|team|acquired|relinquished|notes
1975-08-01|Yankees||Bill Virdon|replaced as manager
1975-08-01|Yankees|Billy Martin||hired as manager
1976-11-05|Pirates|rights to manager Chuck Tanner||trade with Athletics
1976-11-05|Athletics||rights to manager Chuck Tanner|trade with Pirates
1976-11-16|White Sox|Bob Lemon||hired as manager
1977-06-23|Rangers||Eddie Stanky|resigned as manager
1977-06-23|Rangers|Connie Ryan||hired as interim manager
1977-09-11|White Sox|Bob Lemon||re-signed as manager to a 1-year contract through 1978
1977-09-20|Giants|Joe Altobelli||re-signed as manager to a 1-year contract
1977-10-05|Reds|Chuck Goggin||hired as AA manager
1977-11-24|Angels|Dave Garcia||hired/re-signed as manager
1978-01-01|Braves|Bobby Cox||hired as manager (date approximate)
1978-06-30|White Sox||Bob Lemon|replaced as manager
1978-06-30|White Sox|Larry Doby||promoted to manager
1978-07-24|Yankees||Billy Martin|resigned as manager
1978-07-25|Yankees|Bob Lemon||hired as manager
1979-06-18|Yankees|Billy Martin||hired as manager
1979-07-14|Reds|John McNamara||re-signed as manager through the 1980 season
1979-08-02|White Sox||Don Kessinger|fired / resigned (AP) as manager
1979-08-02|White Sox|Tony LaRussa / Tony La Russa||hired as manager
1979-09-05|Giants||Joe Altobelli|fired as manager
1979-09-05|Giants|Dave Bristol||promoted to interim manager
1979-10-08|White Sox|Tony LaRussa / Tony La Russa||re-signed as manager to a 1-year contract
1979-10-31|Cubs|Jim Saul||hired as AAA manager
1979-11-13|White Sox|Pete Ward||hired as AAA manager
1979-12-06|Pirates|Chuck Tanner||re-signed as manager to a 5-year contract extension through 1984
1979-12-12|Brewers|Bob Didier||hired as AAA manager
1979-12-17|Pirates|Jim Mahoney||hired as AAA manager
1980-01-10|Angels|Tom Zimmer (a)||hired as minor league manager
1980-01-25|White Sox|Mike Pazik||hired as minor league manager
1980-03-10|Brewers|Bob Rodgers / Buck Rodgers||hired as interim manager
1980-07-02|Expos|Dick Williams||signed as manager through 1981
1980-07-05|Indians|Dave Garcia||re-signed as manager through 1981
1980-09-26|Twins|John Goryl / Johnny Goryl||re-signed as manager through 1981
1980-10-06|Mets|Joe Torre (a)||re-signed as manager to a 2-year contract
1980-10-06|Padres|Frank Howard||hired as manager
1980-10-08|Dodgers|Tom Lasorda / Tommy Lasorda||signed as manager to a 1-year contract
1980-10-14|Indians|Jim Beauchamp||re-signed as AAA manager to a 1-year contract
1980-11-21|Yankees||Dick Howser|resigned as manager
1980-11-21|Yankees|Gene Michael||hired as manager
1980-12-18|Blue Jays|Bob Humphreys||hired as AAA manager
1981-01-15|Mets|Davey Johnson||hired as AA manager
1981-01-18|Cardinals|Joe Rigoli||hired as minor league manager
1981-01-18|Cardinals|Gaylen Pitts||hired as AA manager
1981-01-18|Cardinals|Tommy Thompson||hired as AAA manager
1981-05-22|Twins||John Goryl / Johnny Goryl (AP)|fired as manager
1981-05-22|Twins|Billy Gardner||hired as manager
1981-05-28|Angels||Jim Fregosi Sr.|fired as manager
1981-05-28|Angels|Gene Mauch||hired as manager
1981-06-03|Mets|Rick Miller||hired as A manager
1981-09-06|Yankees||Gene Michael|replaced as manager
1981-09-06|Yankees|Bob Lemon||hired as manager
1981-09-08|Expos||Dick Williams|fired as manager
1981-09-08|Expos|Jim Fanning||hired as manager
1981-09-23|Reds|George Scherger||hired as AAA manager
1981-10-08|Braves||Bobby Cox|fired as manager
1981-10-08|Reds|Jim Lett||hired as AA manager
1981-10-08|Blue Jays||Bobby Mattick|fired as manager
1981-10-13|Padres||Frank Howard|fired as manager
1981-12-04|Rangers|Rich Donnelly||hired as AAA manager
1982-04-25|Yankees|Gene Michael||hired as manager
1982-04-25|Yankees||Bob Lemon|fired as manager
1982-06-02|Brewers||Bob Rodgers / Buck Rodgers|fired as manager
1982-06-02|Brewers|Harvey Kuenn||promoted to interim manager
1982-06-22|Phillies|P.J. Carey||hired as A manager
1982-06-22|Phillies|Tony Taylor||hired as AAA manager
1982-06-22|Phillies||Ron Clark|fired as AAA manager
1982-08-03|Yankees||Gene Michael|replaced as manager
1982-08-03|Yankees|Clyde King||hired as manager
1982-10-14|Yankees||Frank Verdi|fired as AAA manager
1982-10-22|Angels||Gene Mauch|resigned as manager
1982-10-22|White Sox|Jim Mahoney||hired as AAA manager
1982-10-26|Reds|Roy Hartsfield||hired as AAA manager
1982-11-17|Athletics|Steve Boros||hired as manager
1982-12-12|Padres|Harry Dunlop||hired as AAA manager
1982-12-21|Yankees|Johnny Oates||hired as AAA manager
1983-03-25|Reds|Jimmy Stewart (a)?||moved from A manager to minor league coordinator
1983-03-25|Reds|Sam Mejias||hired as A manager
1983-06-08|Pirates|Chuck Tanner||re-signed as manager to a 2-year contract extension through 1987
1983-06-28|Dodgers|Terry Collins||promoted to AAA manager
1983-07-05|Athletics||Pete Whisenant|fired as AA manager
1983-07-05|Athletics|Keith Lieppman||promoted to AA manager
1983-07-08|Brewers|Tony Muser||promoted to AAA manager
1983-07-31|Indians||Mike Ferraro|fired as manager
1983-07-31|Indians|Pat Corrales||hired as manager
1983-08-16|Athletics|Steve Boros||re-signed as manager through 1984
1983-10-07|Cubs|Jim Frey||hired as manager
1983-10-10|Reds||Russ Nixon|fired as manager (date approximate)
1983-10-18|Mariners|Bill Plummer||hired as AA manager
1983-10-25|Indians||Alan Gallagher / Al Gallagher|fired as AA manager
1983-11-03|Royals|Gene Lamont||hired as AAA manager
1983-11-11|Mets|Mike Cubbage||hired as A manager
1983-11-15|Indians|Jack Aker||hired as AA manager
1983-12-01|Pirates|Tom Sandt / Tommy Sandt||promoted to AAA manager
1983-12-05|Padres|Dave Hilton||hired as A manager
1983-12-06|Astros|Bob Bailey||hired as AA manager
1983-12-06|Brewers|Ron Hansen||hired as minor league manager
1983-12-16|Pirates|Bill Scripture||hired as AA manager
1983-12-20|Mets|Sam Perlozzo||promoted to AA manager
1984-01-05|Twins|Duffy Dyer||hired as A manager
1984-01-05|Yankees|Carl Merrill / Stump Merrill||hired as AAA manager
1984-01-09|Yankees|Jim Marshall||hired as AA manager
1984-01-10|Yankees|Barry Foote||hired as A manager
1984-01-12|Padres|Bobby Tolan||hired as AA manager (date approximate)
1984-01-16||Alan Gallagher / Al Gallagher||hired as A manager
1984-01-16|Royals|Dave Roberts||hired as A manager
1984-01-31|Indians|Pat Corrales||re-signed as manager to a contract extension through 1986
1984-06-04|Royals|Dick Howser||re-signed as manager to a 2-year contract extension through 1986
1984-06-06|Mets|Bud Harrelson||hired as A manager
1984-07-02|Orioles||Grady Little|resigned as A manager (quit after a switch in assignments from Class AA Charlotte back to Class A Hagerstown)
1984-07-02|Orioles|John Hart||promoted to AA manager
1984-07-03|White Sox||Vernon Law / Vern Law|fired as AAA manager
1984-07-17|Brewers||Tim Nordbrook|fired as minor league manager
1984-07-27|Phillies|Paul Owens||signed as manager to a contract through 1985
1984-08-05|Giants||Frank Robinson|fired as manager
1984-08-30|Expos||Bill Virdon|fired as manager
1984-08-30|Expos|Jim Fanning||hired as manager
1984-08-30|Rangers||Tom Burgess|fired as AAA manager
1984-08-30|Rangers|Rusty Gerhardt||hired as AAA manager
1984-09-01|Mariners||Del Crandall|fired as manager
1984-09-01|Mariners|Chuck Cottier||promoted to interim manager
1984-09-05|Blue Jays||Jim Beauchamp|fired as AAA manager
1984-09-24|Rangers|Doug Rader||re-signed as manager to a contract extension through 1987
1984-09-25|Blue Jays|Doug Ault||hired as AAA manager
1984-09-25|Red Sox||Ralph Houk|retired as manager
1984-09-27|Brewers||Rene Lachemann|fired as manager
1984-09-27|Brewers|George Bamberger||hired as manager, signed to a 2-year contract
1984-09-27|Tigers||Roy Majtyka|fired as AA manager
1984-09-28|Blue Jays|Bobby Cox||hired as manager, signed to a 1-year contract
1984-10-01|Braves||Joe Torre (a)|fired as manager
1984-10-02|Braves|Eddie Haas||promoted to manager
1984-10-05|Giants|Jim Lefebvre||hired as AAA manager
1984-10-18|White Sox|Tony LaRussa / Tony La Russa||re-signed as manager to a 1-year, estimated $200K (plus incentives) contract
1984-11-09|Athletics|Keith Lieppman||promoted to AAA manager
1984-11-09|Mariners|Chuck Cottier||promoted to manager, signed to a 1-year contract
1984-11-09|Reds|Gene Dusan||re-signed as AAA manager
1984-11-09|Reds|Jack Lind||re-signed as AA manager
1984-11-09|Reds|Marc Bombard||re-signed as minor league manager
1984-11-09|Reds|Sam Mejias||re-signed as minor league manager
1985-01-15|Cubs|Jim Frey||re-signed as manager through 1987
1985-04-28|Yankees||Yogi Berra|replaced as manager
1985-04-28|Yankees|Billy Martin||hired as manager
1985-05-16|Rangers|Bobby Valentine||hired as manager
1985-05-25|Athletics||Tom Burgess|fired as A manager
1985-05-25|Athletics|Jim Essian (a)||named player-manager of A
1985-06-21|Twins||Billy Gardner|fired as manager
1985-06-21|Twins|Ray Miller||hired as manager
1985-09-28|Mariners|Chuck Cottier||re-signed as manager to a 1-year contract
1985-10-02|Indians|Jim Napier||reassigned to AAA manager
1985-10-11|Athletics|Jackie Moore||re-signed as manager
1985-10-15|Astros||Bob Lillis|fired as manager (date approximate)
1985-10-17|Yankees||Billy Martin|replaced as manager
1985-10-17|Yankees|Lou Piniella||promoted to manager
1985-11-01|Pirates|Jim Leyland||hired as manager (date approximate)
1985-11-13|Astros|Hal Lanier||hired as manager
1985-11-15|Mets|Mike Cubbage||hired as AA manager
1985-11-15|Mets|Sam Perlozzo||hired as AAA manager
1985-11-22|White Sox|George Culver||hired as AA manager
1985-11-22|White Sox|Tony Taylor||hired as A manager
1985-12-20|Pirates|Mike Quade||re-signed as A manager
1986-03-27|Tigers|Leon Roberts||hired as minor league manager
1986-06-11|Astros|Gary Tuck||hired as AA manager
1986-06-20|White Sox||Tony LaRussa / Tony La Russa|fired as manager
1986-07-16|Indians|Doc Edwards||promoted to manager
1986-10-03|Pirates|Jim Leyland||re-signed as manager to a multi-year contract
1986-10-05|Phillies|John Felske||re-signed as manager to a 1-year contract extension through 1988
1986-10-28|Yankees|Bucky Dent||hired as AAA manager
1986-10-30|Dodgers||Stan Wasiak|retired as minor league manager
1986-11-12|Pirates|Rocky Bridges||hired as AAA manager
1986-11-25|Padres|Jack Krol||assigned to AAA manager
1987-01-05|Giants|Rafael Landestoy||hired as minor league manager
1987-01-09|Mets|Mike Cubbage||promoted to AAA manager
1987-01-14|Mets|Tucker Ashford||promoted to AA manager
1987-01-20|Mets|Butch Hobson||hired as A manager
1987-01-20|Orioles|Glenn Gulliver||hired as A manager
1987-01-27|Blue Jays|Bob Bailor||hired as A manager
1987-01-27|Twins|Leon Roberts||hired as AAA manager
1987-01-31|Indians|Glenn Adams||promoted to A manager
1987-01-31|Indians|Mike Hargrove||hired as A manager
1987-01-31|Indians|Orlando Gomez||promoted to AAA manager
1987-01-31|Indians|Steve Swisher||promoted to AA manager
1987-02-11|Yankees|Wally Moon||hired as A manager
1987-02-13|Pirates|Derrel Thomas||hired as A manager
1987-05-20|Indians|Orlando Gomez||demoted to AA manager
1987-05-20|Indians|Steve Swisher||promoted to AAA manager
1987-06-23|Yankees||Billy Martin|replaced as manager
1987-06-23|Yankees|Lou Piniella||hired as manager
1987-08-30|Brewers|Tom Trebelhorn||re-signed as manager through 1988
1987-09-14|Phillies|Lee Elia||signed as interim manager to a 1-year contract
1987-10-05|Blue Jays|Jimmy Williams||re-signed as manager to a 1-year contract
1987-10-05|Twins|(J.) Tom Kelly||signed as manager to a 1-year contract
1987-10-08|White Sox|Jim Fregosi Sr.||re-signed as manager to a multi-year contract
1987-10-09|Athletics|Tommie Reynolds||promoted to AA manager
1987-11-04|Dodgers|Gary LaRocque||reassigned as minor league manager
1987-11-04|Dodgers|Joe Alvarez||re-signed as minor league manager
1987-11-04|Dodgers|Kevin Kennedy||reassigned to AA manager
1987-11-04|Dodgers|Terry Collins||re-signed as AAA manager
1987-11-04|Dodgers|Tim Johnson||re-signed as minor league manager
1987-11-10|Expos|Bob Rodgers / Buck Rodgers||re-signed as manager to a 3-year contract
1987-11-10|Orioles|Cal Ripken Sr.||re-signed as manager to a 1-year contract
1987-11-11|Pirates|Rocky Bridges||hired as AAA manager
1987-11-18|Indians|Doc Edwards||re-signed as manager to a 1-year contract
1987-11-20|Cubs|Don Zimmer||hired as manager
1988-01-14|Indians|Mike Hargrove||hired as minor league manager
1988-03-12|Angels|Octavio Rojas / Cookie Rojas||promoted to interim manager
1988-04-07|Pirates|Stan Cliburn||hired as A manager
1988-08-28|Royals|John Wathan||re-signed as manager to a contract extension through 1989
1988-09-13|Expos|Joe Sparks||promoted from AAA manager to coach for the remainder of the season
1988-09-14|Padres||Jack McKeon|fired as GM (remained as manager)
1988-09-14|Padres|Jack McKeon||signed as manager to a 3-year contract
1988-09-26|Indians||Steve Swisher|fired as AAA manager
1988-09-27|Indians||Glenn Adams|fired as minor league manager
1988-09-27|Mets||Butch Hobson|fired as A manager
1988-09-30|Pirates|Terry Collins||hired as AAA manager
1988-10-05|Blue Jays|Jimy Williams||re-signed as manager to a 1-year contract
1988-10-05|Giants|Gordy MacKenzie||hired as AAA manager
1988-10-14|Pirates||Jim Thrift|fired as minor league manager
1988-10-26|Blue Jays|Bob Bailor||promtoed to AAA manager
1988-10-28|Twins|Ron Gardenhire||promoted to AA manager
1988-11-02|Indians|Bob Molinaro / Bobby Molinaro||hired as AA manager
1988-11-02|Tigers|John Wockenfuss||signed as AAA manager to a 1-year contract
1988-11-03|Tigers|Chris Chambliss||hired as minor league manager
1988-11-03|White Sox|Jeff Torborg||hired as manager
1988-11-08|Expos|Tom Runnells||hired as AAA manager
1988-11-14|Expos|Mike Quade||hired as A manager
1988-11-15|Blue Jays|Mike Fischlin||hired as A manager
1988-11-15|Braves|Cloyd Boyer||hired as R manager
1988-11-19|Twins|Phil Roof||hired as AAA manager
1988-11-22|Astros|Bob Skinner||hired as AAA manager
1988-11-29|Pirates|Woody Hyke||hired as minor league manager
1988-12-07|Dodgers|Kevin Kennedy||hired as AAA manager
1988-12-15|Mets|Steve Swisher||hired as AA manager
1988-12-15|Pirates|Rocky Bridges||hired as A manager
1988-12-20|Rangers||Toby Harrah|replaced as manager (date approximate)
1988-12-20|Rangers|Jim Skaalen||hired as manager
1988-12-21|Orioles|Jerry Narrown||hired as A manager
1988-12-21|Orioles|Jim Schaeffer||hired as AA manager
1989-02-14|Pirates|Julio Garcia||hired as R manager
1989-02-19|Brewers|Dusty Rhodes (a)||hired as A manager
1989-05-12|Cardinals|Whitey Herzog||re-signed as manager to a 2-year contract extension
1989-06-16|Red Sox|Joe Morgan (M.)||re-signed as manager through 1990
1989-08-18|Yankees||Dallas Green|fired as manager
1989-08-18|Yankees|Bucky Dent||hired as manager
1989-09-08|Phillies||Mike Gulliver|fired as minor league manager
1989-09-08|Phillies||Mike Hart|fired as AA manager
1989-09-08|Yankees|Bucky Dent||re-signed as manager to a contract extension through 1990
1990-02-02|Astros|Ricky Peters||hired as minor league manager
1990-02-04|Brewers|Gary Calhoun||hired as minor league manager
1990-02-10|Orioles|Phil Linz||hired as minor league manager
1990-02-21|Brewers|Chris Bando||hired as minor league manager
1990-02-21|Brewers|Rob Derksen||hired as minor league manager
1990-02-21|Brewers|Dave Huppert||hired as minor league manager
1990-02-26|Phillies|Eli Grba||hired as minor league manager
1990-02-26|Phillies|Floyd Rayford||hired as AAA manager
1990-04-16|Phillies|Dave Cash||hired as A manager
1990-04-30|Pirates|Jim Mallon||hired as minor league manager
1990-05-24|Red Sox|Joe Morgan (M.)||re-signed as manager to a contract extension through 1991
1990-05-29|Mets||Davey Johnson|fired as manager
1990-05-29|Mets|Bud Harrelson||promoted to interim manager through 1990 season
1990-06-06|Yankees||Bucky Dent|fired as manager
1990-06-06|Yankees|Carl Merrill / Stump Merrill||hired as manager
1990-06-22|Braves||Russ Nixon|fired as manager
1990-06-22|Braves|Bobby Cox||hired as manager
1990-06-22|Indians||Bob Molinaro / Bobby Molinaro|fired as AAA manager
1990-06-22|Indians|Charlie Manuel||hired as AAA manager
1990-06-26|Cubs|Don Zimmer||team exercised contract option on manager for 1991
1990-07-06|Cardinals||Whitey Herzog|resigned as manager
1990-07-06|Cardinals|Red Schoendienst||hired as interim manager
1990-08-03|Cardinals|Joe Torre (a)||hired as manager
1990-08-03|Phillies|Nick Leyva||re-signed as manager to a contract extension through 1992
1990-08-24|Padres|Greg Riddoch||re-signed as manager through 1990-91
1990-09-12|Royals|John Wathan||re-signed as manager to a 1-year contract extension through 1991
1990-09-15|White Sox|Jeff Torborg||re-signed as manager to a contract extension through 1991
1990-09-20|Angels|Doug Rader||re-signed as manager to a 2-year contract extension through 1992
1990-10-03|Orioles|Frank Robinson||re-signed as manager to a 1-year contract
1990-10-05|Brewers|Tony Muser||hired as AAA manager
1990-10-10|Braves||Bobby Cox|fired as GM (remained as manager) (date approximate)
1990-10-11|Cardinals|Mark DeJohn||hired as AAA manager
1990-10-12|Pirates|Jim Leyland||re-signed as manager to a 2-year contract
1990-10-31|Rangers|Tommy Thompson||hired as AAA manager
1990-11-01|Braves|Phil Niekro||re-assigned as AAA manager
1990-11-01|Padres|Steve Lubratich||hired as AA manager
1990-11-02|Indians|Gary Tuck||hired as minor league manager
1990-11-06|Rangers|Bobby Jones||promoted to AA manager
1990-11-10|Braves|Chris Chambliss||hired as AA manager
1990-11-29|Cardinals|Mike Ramsey||hired as A manager
1990-12-03|Brewers|Tony Muser||hired as AAA manager
1990-12-03|Brewers|Wayne Krenchicki||hired as minor league manager
1990-12-12|Cardinals|Dave Bialas||hired as minor league manager
1990-12-15|Tigers|Joe Sparks||hired as AAA manager
1990-12-18|Blue Jays|Garth Iorg (a)||hired as minor league manager
1990-12-18|Rangers|Bobby Valentine||re-signed as manager to a 1-year contract extension through 1992
1991-01-08|Reds|Dave Miley||hired as minor league manager
1991-01-10|Cardinals|Rick Colbert||hired as minor league manager
1991-01-10|Cardinals|Larry Milbourne||hired as minor league manager
1991-01-11|Rangers|Bump Wills||hired as minor league manager
1991-02-05|Astros|Ricky Peters||hired as A manager
1991-02-05|Yankees|Glenn Sherlock||hired as A manager
1991-02-14|Expos|Pat Kelly (b)||hired as minor league manager
1991-03-01|Blue Jays|J.J. Cannon||hired as minor league manager
1991-04-23|Phillies||Nick Leyva|fired as manager
1991-04-23|Phillies|Jim Fregosi Sr.||hired as manager
1991-05-21|Cubs||Don Zimmer|fired as manager
1991-05-21|Cubs|Joe Altobelli||hired as interim manager
1991-05-22|Cubs||Joe Altobelli|fired as interim manager
1991-05-22|Cubs|Jim Essian (a)||hired as manager, signed to a 2-year contract through 1992
1991-05-22|Royals||John Wathan|fired as manager
1991-05-22|Royals|Bob Schaefer||promoted to interim manager
1991-05-23|Orioles||Frank Robinson|fired as manager (re-assigned within organization)
1991-05-23|Orioles|Johnny Oates||promoted to manager
1991-05-24|Royals|Hal McRae||hired as manager
1991-05-26|Cubs|Mick Kelleher||hired as AAA manager
1991-05-30|White Sox|Jeff Torborg||re-signed as manager to a contract extension through 1993
1991-06-01|Red Sox|Joe Morgan (M.)||re-signed as manager to a 1-year contract extension through 1992
1991-06-03|Expos||Bob Rodgers / Buck Rodgers|fired as manager
1991-06-03|Expos|Tom Runnells||hired as manager
1991-06-03|Expos|Pat Kelly (b)||hired as AAA manager
1991-07-06|Indians||John McNamara|fired as manager
1991-07-06|Indians|Mike Hargrove||hired as manager
1991-07-12|Phillies|Jim Fregosi Sr.||re-signed as manager to a 1-year contract extension through 1992
1991-08-26|Angels||Doug Rader|fired as manager
1991-08-26|Angels|Bob Rodgers / Buck Rodgers||hired as manager
1991-10-08|Red Sox||Joe Morgan (M.)|fired as manager
1991-10-08|Red Sox|Butch Hobson||hired as manager
1991-10-11|White Sox||Jeff Torborg|resigned as manager
1991-11-26|White Sox|Gene Lamont||hired as manager
1992-05-26|Expos|Felipe Alou (a)||signed as manager for the remainder of the season
1992-09-23|Padres||Greg Riddoch|fired as manager
1992-09-23|Padres|Jim Riggleman||hired as manager
1992-10-31|Reds|Tony Perez||hired as manager, signed to a 1-year contract
1992-12-17|Cubs|Steve Kolinsky||hired as minor league manager
1992-12-17|Cubs|Butch Hughes||hired as minor league manager
1992-12-17|Cubs|Jerry Weinstein||hired as minor league manager
1993-01-20|Astros|Art Howe||signed as manager to a 1-year contract
1993-10-07|Pirates|Bobby Meacham||hired as AA manager
1993-10-29|Tigers|Tom Runnells||hired as AA manager
1993-10-29|Tigers|Dwight Lowry||hired as minor league manager
1994-04-24|Tigers||Gerry Groninger|resigned as minor league manager
1994-04-24|Tigers|Dwight Lowry||promoted to minor league manager
1994-04-24|Tigers|Mark Wagner||promoted to minor league manager
1994-09-20|Red Sox||Butch Hobson|fired as manager
1994-11-09|Mariners|Orlando Gomez||hired as minor league manager
1994-11-10|Indians|Joel Skinner||hired as minor league manager
1994-11-10|Orioles|Bob Miscik||hired as AA manager
1994-11-10|Padres|Barry Moss||hired as minor league manager
1994-11-10|Padres|Ed Romero||hired as minor league manager
1994-11-10|Padres|Marty Barrett||hired as minor league manager
1994-11-10|Padres|Mike Basso||hired as minor league manager
1994-11-30|Cubs|Dave Trembley||hired as minor league manager
1994-11-30|Cubs|Sandy Alomar Sr.||hired as minor league manager
1994-11-30|Rangers|Bobby Jones||hired as AA manager
1994-11-30|Rangers|Greg Biagini||hired as AAA manager
1994-12-16|Expos|Doug Sisson||hired as minor league manager
1994-12-16|Expos|Pat Kelly (b)||hired as AA manager
1995-01-13|Indians|Harry Spilman||hired as minor league manager
1995-01-13|Indians|Jeff Datz||hired as minor league manager
1995-01-13|Indians|Gordie MacKenzie / Gordy MacKenzie?||hired as minor league manager
1995-01-24|White Sox|Mike Gellinger||hired as minor league manager
1995-01-24|White Sox|Mike Rojas||hired as minor league manager
1995-02-13|Padres|Dan Shwam||hired as minor league manager
1995-02-13|Padres|Wayne Krenchicki||hired as minor league manager
1995-06-02|White Sox||Gene Lamont|fired as manager
1995-06-02|White Sox|Terry Bevington||hired as manager
1995-10-05|Royals|Bob Boone||re-signed as manager to a contract extension through 1997
1995-10-17|Pirates|Jim Leyland||re-signed as manager to a contract extension through 2000
1995-10-23|Cardinals|Tony LaRussa / Tony La Russa||hired as manager
1995-10-23|Mets|Howie Freiling||re-signed as minor league manager
1995-10-23|Mets|John Tamargo Sr.||re-signed as AA manager
1995-10-23|Mets|Toby Harrah||re-signed as AAA manager
1995-10-23|Mets|John Gibbons||promoted to minor league manager
1995-12-12|Brewers|Bernie Moncallo||hired as minor league manager
1995-12-12|Brewers|Dave Machemer||hired as AA manager
1995-12-12|Brewers|Tim Ireland||hired as AAA manager
1995-12-12|Brewers|Greg Mahlberg||hired as minor league manager
1995-12-12|Brewers|Luis Salazar||hired as minor league manager
1995-12-14|Mariners|Dave Myers||hired as AAA manager
1995-12-22|Brewers|Steve Gilbert||hired as manager of baseball operations
1995-12-22|Mariners|Dave Brundage||hired as minor league manager
1996-01-02|Orioles|Joe Ferguson||hired as minor league manager
1996-04-15|Orioles||Bob Miscik|resigned as AA manager
1996-04-15|Orioles|Moe Drabowsky||hired as interim AA manager
1996-04-16|Orioles|Julio Garcia||promoted to minor league manager
1996-04-16|Orioles|Tim Blackwell||promoted to AA manager
1996-06-13|Braves|Bobby Cox||re-signed as manager to a 2-year contract extension through 1999
1996-07-29|Dodgers||Tom Lasorda / Tommy Lasorda|retired as manager
1996-12-04|Cardinals|Gaylen Pitts||hired as AAA manager
1996-12-04|Red Sox|Ken Macha||hired as AAA manager
1997-01-21|Angels|Tom Kotchman||re-signed as minor league manager
1997-01-21|Mariners|Darrin Garner||hired as minor league manager
1997-01-21|Mariners|Orlando Gomez||hired as minor league manager
1997-08-27|Mets|Bobby Valentine||re-signed as manager to a 3-year contract
1997-10-15|Royals|John Mizerock||hired as AA manager
1997-10-15|Royals|Ron Johnson||promoted to AAA manager
1997-11-10|Orioles|Ray Miller||promoted to manager
1997-12-04|White Sox|Jerry Manuel||hired as manager
1997-12-15|Phillies|Bill Dancy||hired as minor league manager
1998-01-07|Devil Rays|Charlie Montoyo||hired as minor league manager
1998-01-07|Devil Rays|Roy Silver||hired as minor league manager
1998-01-07|Devil Rays|Bobby Ramos||hired as minor league manager
1998-01-07|Devil Rays|David Howard||hired as minor league manager
1998-01-07|Devil Rays|Greg Mahlberg||hired as minor league manager
1998-01-12|Orioles|Andy Etchebarren||hired as R manager
1998-01-16|Giants|Dusty Baker||re-signed as manager to a 2-year contract extension through 2000
